boundary_port_id,node_id,node_label,source_node,road_id,side
1,0.07948881@2802005:upstream:2240,B01u,0.07948881@2802005,1011,upstream
2,1220150:terminal_downstream:645,J351d,1220150,645,downstream
3,1220150:terminal_upstream:646,J351u,1220150,646,upstream
4,1220491:terminal_downstream:1264,J528d,1220491,1264,downstream
5,1220491:terminal_upstream:1263,J528u,1220491,1263,upstream
6,1220544:terminal_downstream:244,J620d,1220544,244,downstream
7,1220544:terminal_upstream:237,J620u,1220544,237,upstream
8,1221170:terminal_downstream:1119,J35d,1221170,1119,downstream
9,1221170:terminal_upstream:1120,J35u,1221170,1120,upstream
10,1238685:terminal_downstream:985,J42d,1238685,985,downstream
11,1238685:terminal_upstream:970,J42u,1238685,970,upstream
12,1238834:terminal_downstream:969,J150d,1238834,969,downstream
13,1238834:terminal_upstream:939,J150u,1238834,939,upstream
14,1238835:terminal_downstream:294,J503d,1238835,294,downstream
15,1238835:terminal_upstream:295,J503u,1238835,295,upstream
16,1238888:terminal_downstream:669,J340d,1238888,669,downstream
17,1238888:terminal_upstream:670,J340u,1238888,670,upstream
18,1238939:terminal_downstream:890,J222d,1238939,890,downstream
19,1238939:terminal_upstream:817,J222u,1238939,817,upstream
20,1239232:terminal_downstream:933,J63d,1239232,933,downstream
21,1239232:terminal_upstream:937,J63u,1239232,937,upstream
22,1239370:terminal_downstream:868,J198d,1239370,868,downstream
23,1239370:terminal_upstream:875,J198u,1239370,875,upstream
24,1239591:terminal_downstream:391,J464d,1239591,391,downstream
25,1239591:terminal_upstream:392,J464u,1239591,392,upstream
26,1240846:terminal_downstream:233,J685d,1240846,233,downstream
27,1240846:terminal_upstream:57,J685u,1240846,57,upstream
28,1240849:terminal_downstream:218,J576d,1240849,218,downstream
29,1240849:terminal_upstream:222,J576u,1240849,222,upstream
30,1241078:terminal_downstream:479,J490d,1241078,479,downstream
31,1241078:terminal_upstream:480,J490u,1241078,480,upstream
32,1241091:terminal_downstream:490,J481d,1241091,490,downstream
33,1241091:terminal_upstream:488,J481u,1241091,488,upstream
34,1400333:terminal_downstream:837,J240d,1400333,837,downstream
35,1400333:terminal_upstream:838,J240u,1400333,838,upstream
36,1401536:terminal_downstream:774,J255d,1401536,774,downstream
37,1401536:terminal_upstream:773,J255u,1401536,773,upstream
38,1401543:terminal_downstream:538,J427d,1401543,538,downstream
39,1401543:terminal_upstream:542,J427u,1401543,542,upstream
40,1402059:terminal_downstream:388,J469d,1402059,388,downstream
41,1402059:terminal_upstream:389,J469u,1402059,389,upstream
42,1403399:terminal_downstream:605,J415d,1403399,605,downstream
43,1403399:terminal_upstream:583,J415u,1403399,583,upstream
44,1405014:terminal_downstream:732,J320d,1405014,732,downstream
45,1405014:terminal_upstream:733,J320u,1405014,733,upstream
46,1406400:terminal_downstream:1162,J16d,1406400,1162,downstream
47,1406400:terminal_upstream:1163,J16u,1406400,1163,upstream
48,1407100:terminal_downstream:500,J478d,1407100,500,downstream
49,1407100:terminal_upstream:505,J478u,1407100,505,upstream
50,1407809:terminal_downstream:437,J517d,1407809,437,downstream
51,1407809:terminal_upstream:407,J517u,1407809,407,upstream
52,1407842:terminal_downstream:96,J673d,1407842,96,downstream
53,1407842:terminal_upstream:100,J673u,1407842,100,upstream
54,1409921:terminal_downstream:1101,J44d,1409921,1101,downstream
55,1409921:terminal_upstream:1102,J44u,1409921,1102,upstream
56,1411111:terminal_downstream:947,J124d,1411111,947,downstream
57,1411111:terminal_upstream:938,J124u,1411111,938,upstream
58,1411112:terminal_downstream:533,J421d,1411112,533,downstream
59,1411112:terminal_upstream:507,J421u,1411112,507,upstream
60,1817926,J121,1817926,975,upstream
61,1915943:terminal_downstream:297,J602d,1915943,297,downstream
62,1915943:terminal_upstream:291,J602u,1915943,291,upstream
63,1915962:terminal_downstream:332,J625d,1915962,332,downstream
64,1915962:terminal_upstream:216,J625u,1915962,216,upstream
65,1917135:terminal_downstream:396,J485d,1917135,396,downstream
66,1917135:terminal_upstream:394,J485u,1917135,394,upstream
67,1917148:terminal_downstream:408,J504d,1917148,408,downstream
68,1917148:terminal_upstream:395,J504u,1917148,395,upstream
69,1917151:terminal_downstream:404,J480d,1917151,404,downstream
70,1917151:terminal_upstream:405,J480u,1917151,405,upstream
71,1935603:terminal_downstream:38,J762d,1935603,38,downstream
72,1935603:terminal_upstream:39,J762u,1935603,39,upstream
73,2538384:downstream:2336,B79d,2538384,1066,downstream
74,2538385:upstream:2357,B75u,2538385,1078,upstream
75,2538475:terminal_downstream:929,J54d,2538475,929,downstream
76,2538475:terminal_upstream:930,J54u,2538475,930,upstream
77,2538491:terminal_downstream:1180,J102d,2538491,1180,downstream
78,2538491:terminal_upstream:1164,J102u,2538491,1164,upstream
79,2538516:terminal_downstream:973,J103d,2538516,973,downstream
80,2538516:terminal_upstream:974,J103u,2538516,974,upstream
81,2538560:terminal_downstream:1060,J96d,2538560,1060,downstream
82,2538560:terminal_upstream:1057,J96u,2538560,1057,upstream
83,2642957:terminal_downstream:1241,J194d,2642957,1241,downstream
84,2642957:terminal_upstream:1242,J194u,2642957,1242,upstream
85,2644157:terminal_downstream:1280,J286d,2644157,1280,downstream
86,2644157:terminal_upstream:1279,J286u,2644157,1279,upstream
87,2646623:terminal_downstream:826,J257d,2646623,826,downstream
88,2646623:terminal_upstream:825,J257u,2646623,825,upstream
89,2646684:terminal_downstream:335,J533d,2646684,335,downstream
90,2646684:terminal_upstream:336,J533u,2646684,336,upstream
91,2646757:terminal_downstream:1275,J395d,2646757,1275,downstream
92,2646757:terminal_upstream:1276,J395u,2646757,1276,upstream
93,2646760:terminal_downstream:1299,J448d,2646760,1299,downstream
94,2646760:terminal_upstream:1300,J448u,2646760,1300,upstream
95,2647262:terminal_downstream:196,J672d,2647262,196,downstream
96,2647262:terminal_upstream:197,J672u,2647262,197,upstream
97,2647265:terminal_downstream:193,J702d,2647265,193,downstream
98,2647265:terminal_upstream:192,J702u,2647265,192,upstream
99,2648140:terminal_downstream:140,J660d,2648140,140,downstream
100,2648140:terminal_upstream:141,J660u,2648140,141,upstream
101,2672176:terminal_downstream:36,J768d,2672176,36,downstream
102,2672176:terminal_upstream:37,J768u,2672176,37,upstream
103,2672180:terminal_downstream:27,J753d,2672180,27,downstream
104,2672180:terminal_upstream:40,J753u,2672180,40,upstream
105,2672634:terminal_downstream:2,J763d,2672634,2,downstream
106,2672634:terminal_upstream:1,J763u,2672634,1,upstream
107,2672641:terminal_downstream:41,J739d,2672641,41,downstream
108,2672641:terminal_upstream:42,J739u,2672641,42,upstream
109,2672646:terminal_downstream:7,J761d,2672646,7,downstream
110,2672646:terminal_upstream:8,J761u,2672646,8,upstream
111,2735690:terminal_downstream:298,J618d,2735690,298,downstream
112,2735690:terminal_upstream:290,J618u,2735690,290,upstream
113,2735691:terminal_downstream:250,J584d,2735691,250,downstream
114,2735691:terminal_upstream:247,J584u,2735691,247,upstream
115,2735697:terminal_downstream:177,J658d,2735697,177,downstream
116,2735697:terminal_upstream:172,J658u,2735697,172,upstream
117,2736149:terminal_downstream:429,J544d,2736149,429,downstream
118,2736149:terminal_upstream:430,J544u,2736149,430,upstream
119,2736151:terminal_downstream:287,J537d,2736151,287,downstream
120,2736151:terminal_upstream:293,J537u,2736151,293,upstream
121,2736155:terminal_downstream:406,J498d,2736155,406,downstream
122,2736155:terminal_upstream:401,J498u,2736155,401,upstream
123,2736160:terminal_downstream:512,J438d,2736160,512,downstream
124,2736160:terminal_upstream:530,J438u,2736160,530,upstream
125,2736166:terminal_downstream:1274,J456d,2736166,1274,downstream
126,2736166:terminal_upstream:1273,J456u,2736166,1273,upstream
127,2736812:terminal_downstream:454,J466d,2736812,454,downstream
128,2736812:terminal_upstream:436,J466u,2736812,436,upstream
129,2736821:terminal_downstream:665,J325d,2736821,665,downstream
130,2736821:terminal_upstream:650,J325u,2736821,650,upstream
131,2736892:terminal_downstream:1251,J331d,2736892,1251,downstream
132,2736892:terminal_upstream:1252,J331u,2736892,1252,upstream
133,2737699:terminal_downstream:283,J588d,2737699,283,downstream
134,2737699:terminal_upstream:284,J588u,2737699,284,upstream
135,2745083:terminal_downstream:50,J706d,2745083,50,downstream
136,2745083:terminal_upstream:49,J706u,2745083,49,upstream
137,2791526:upstream:227,B434u,2791526,98,upstream
138,2813615:terminal_downstream:1295,J148d,2813615,1295,downstream
139,2813615:terminal_upstream:1296,J148u,2813615,1296,upstream
140,2813640:terminal_downstream:1121,J38d,2813640,1121,downstream
141,2813640:terminal_upstream:1122,J38u,2813640,1122,upstream
142,2814044:upstream:419,B428u,2814044,191,upstream
143,2814046:downstream:492,B427d,2814046,223,downstream
144,2814317:terminal_downstream:787,J224d,2814317,787,downstream
145,2814317:terminal_upstream:788,J224u,2814317,788,upstream
146,2814321:downstream:1645,B179d,2814321,735,downstream
147,2814321:upstream:1644,B179u,2814321,734,upstream
148,2814323:terminal_downstream:722,J305d,2814323,722,downstream
149,2814323:terminal_upstream:723,J305u,2814323,723,upstream
150,2815170:downstream:2046,B140d,2815170,908,downstream
151,2815170:upstream:1821,B140u,2815170,820,upstream
152,3067119:downstream:206,B439d,3067119,55,downstream
153,3073866,B153,3073866,960,downstream
154,3074978:downstream:2080,B16d,3074978,921,downstream
155,3074978:upstream:2055,B16u,3074978,912,upstream
156,3076151:downstream:2559,B18d,3076151,1198,downstream
157,3076151:upstream:2599,B18u,3076151,1216,upstream
158,3077074:downstream:2118,B29d,3077074,935,downstream
159,3077176,B159,3077176,994,downstream
160,3077504:downstream:1378,B229d,3077504,628,downstream
161,3077504:upstream:1380,B229u,3077504,630,upstream
162,3078128:upstream:2048,B31u,3078128,909,upstream
163,3078334,B163,3078334,885,downstream
164,3078340:terminal_downstream,Td,3078340,1301,downstream
165,3078472,B165,3078472,1049,downstream
166,3078485:terminal_downstream,Td,3078485,1302,downstream
167,3078487:downstream:1138,B253d,3078487,529,downstream
168,3078487:upstream:1136,B253u,3078487,527,upstream
169,3078493:downstream:2452,B74d,3078493,1128,downstream
170,3078493:upstream:2451,B74u,3078493,1127,upstream
171,3078496:terminal_downstream,Td,3078496,1303,downstream
172,3078505:terminal_downstream,Td,3078505,1304,downstream
173,3078521:terminal_downstream,Td,3078521,1305,downstream
174,3078524:terminal_downstream,Td,3078524,1306,downstream
175,3078541:upstream:2261,B06u,3078541,1026,upstream
176,3078555,B176,3078555,1056,downstream
177,3082173,B177,3082173,629,downstream
178,3082176,B178,3082176,638,downstream
179,3083404:terminal_downstream,Td,3083404,1307,downstream
180,3083594:terminal_downstream,Td,3083594,1308,downstream
181,3139727:terminal_downstream:307,J617d,3139727,307,downstream
182,3139727:terminal_upstream:308,J617u,3139727,308,upstream
183,3182405:downstream:2265,B02d,3182405,1029,downstream
184,3204044:terminal_downstream:725,J328d,3204044,725,downstream
185,3204044:terminal_upstream:724,J328u,3204044,724,upstream
186,3289385:terminal_downstream,Td,3289385,1309,downstream
187,3289393:terminal_downstream,Td,3289393,1310,downstream
188,3289395:terminal_downstream,Td,3289395,1311,downstream
189,3289405:terminal_downstream,Td,3289405,1312,downstream
190,3289782:terminal_downstream,Td,3289782,1313,downstream
191,3289793:terminal_downstream,Td,3289793,1314,downstream
192,3289795,B192,3289795,776,downstream
193,3289802:terminal_downstream,Td,3289802,1315,downstream
194,3289806:terminal_downstream,Td,3289806,1316,downstream
195,3289896:terminal_downstream,Td,3289896,1317,downstream
196,3289900:terminal_downstream,Td,3289900,1318,downstream
197,3289907:terminal_downstream,Td,3289907,1319,downstream
198,3289915:terminal_downstream,Td,3289915,1320,downstream
199,3290217:terminal_downstream,Td,3290217,1321,downstream
200,3290220:terminal_downstream,Td,3290220,1322,downstream
201,3290226:terminal_downstream,Td,3290226,1323,downstream
202,3290230:terminal_downstream,Td,3290230,1324,downstream
203,3290238:terminal_downstream,Td,3290238,1325,downstream
204,3290243:terminal_downstream,Td,3290243,1326,downstream
205,3290936:terminal_downstream,Td,3290936,1327,downstream
206,3290940:terminal_downstream,Td,3290940,1328,downstream
207,3291645:terminal_downstream,Td,3291645,1329,downstream
208,3291651,B208,3291651,1082,downstream
209,3291787:terminal_downstream,Td,3291787,1330,downstream
210,3291789:terminal_downstream,Td,3291789,1331,downstream
211,3291799:terminal_downstream,Td,3291799,1332,downstream
212,3291800:terminal_downstream,Td,3291800,1333,downstream
213,3291808:terminal_downstream,Td,3291808,1334,downstream
214,3291810:terminal_downstream,Td,3291810,1335,downstream
215,3291816:terminal_downstream,Td,3291816,1336,downstream
216,3291818:terminal_downstream,Td,3291818,1337,downstream
217,3294286:terminal_downstream,Td,3294286,1338,downstream
218,3294427:terminal_downstream,Td,3294427,1339,downstream
219,3294435:terminal_downstream,Td,3294435,1340,downstream
220,3294450:terminal_downstream,Td,3294450,1341,downstream
221,3342422:terminal_downstream,Td,3342422,1342,downstream
222,3342425:terminal_downstream,Td,3342425,1343,downstream
223,3342438,J98,3342438,1099,upstream
224,3342457:terminal_downstream,Td,3342457,1344,downstream
225,3342466:terminal_downstream,Td,3342466,1345,downstream
226,3342467:terminal_downstream,Td,3342467,1346,downstream
227,3342501:terminal_downstream,Td,3342501,1347,downstream
228,3363839:terminal_downstream:415,J499d,3363839,415,downstream
229,3363839:terminal_upstream:435,J499u,3363839,435,upstream
230,3377247:terminal_downstream:350,J531d,3377247,350,downstream
231,3377247:terminal_upstream:351,J531u,3377247,351,upstream
232,3581575:terminal_downstream:1221,J45d,3581575,1221,downstream
233,3581575:terminal_upstream:1222,J45u,3581575,1222,upstream
234,3581621:terminal_downstream:1255,J48d,3581621,1255,downstream
235,3581621:terminal_upstream:1256,J48u,3581621,1256,upstream
236,3596885:terminal_downstream:1243,J410d,3596885,1243,downstream
237,3596885:terminal_upstream:1244,J410u,3596885,1244,upstream
238,3605684:terminal_downstream:165,J718d,3605684,165,downstream
239,3605684:terminal_upstream:167,J718u,3605684,167,upstream
240,3920991:upstream:467,B423u,3920991,212,upstream
241,3921004:downstream:464,B424d,3921004,211,downstream
242,3921007:terminal_downstream:1254,J408d,3921007,1254,downstream
243,3921007:terminal_upstream:1253,J408u,3921007,1253,upstream
244,3963200:downstream:407,B441d,3963200,188,downstream
245,3963200:upstream:406,B441u,3963200,187,upstream
246,3966854:terminal_downstream:339,J535d,3966854,339,downstream
247,3966854:terminal_upstream:306,J535u,3966854,306,upstream
248,4087854:downstream:32,B509d,4087854,16,downstream
249,4087858:upstream:37,B504u,4087858,20,upstream
250,451302:terminal_downstream:1289,J01d,451302,1289,downstream
251,451302:terminal_upstream:1290,J01u,451302,1290,upstream
252,451386:upstream:2247,B05u,451386,1017,upstream
253,451413:terminal_downstream:920,J03d,451413,920,downstream
254,451413:terminal_upstream:915,J03u,451413,915,upstream
255,452189:downstream:2049,B63d,452189,910,downstream
256,452189:upstream:2050,B63u,452189,911,upstream
257,452200:terminal_downstream:1203,J86d,452200,1203,downstream
258,452200:terminal_upstream:1204,J86u,452200,1204,upstream
259,452399:terminal_downstream:1129,J111d,452399,1129,downstream
260,452399:terminal_upstream:1132,J111u,452399,1132,upstream
261,452488:terminal_downstream:1069,J122d,452488,1069,downstream
262,452488:terminal_upstream:1070,J122u,452488,1070,upstream
263,452909:downstream:2640,B103d,452909,1238,downstream
264,452909:upstream:2641,B103u,452909,1239,upstream
265,452962:terminal_downstream:1051,J201d,452962,1051,downstream
266,452962:terminal_upstream:981,J201u,452962,981,upstream
267,453282:downstream:1806,B151d,453282,812,downstream
268,453282:downstream:1807,B151d,453282,813,downstream
269,453282:upstream:1805,B151u,453282,811,upstream
270,453282:upstream:1808,B151u,453282,814,upstream
271,453302:terminal_downstream:841,J252d,453302,841,downstream
272,453302:terminal_upstream:842,J252u,453302,842,upstream
273,453393:terminal_downstream:699,J271d,453393,699,downstream
274,453393:terminal_upstream:802,J271u,453393,802,upstream
275,453463:terminal_downstream:679,J287d,453463,679,downstream
276,453463:terminal_upstream:678,J287u,453463,678,upstream
277,454130:downstream:1332,B237d,454130,615,downstream
278,454130:upstream:1335,B237u,454130,616,upstream
279,454138:terminal_downstream:549,J381d,454138,549,downstream
280,454138:terminal_upstream:550,J381u,454138,550,upstream
281,454377:terminal_downstream:1281,J412d,454377,1281,downstream
282,454377:terminal_upstream:1282,J412u,454377,1282,upstream
283,454629:downstream:1336,B285d,454629,617,downstream
284,454629:upstream:1337,B285u,454629,618,upstream
285,454741:terminal_downstream:431,J454d,454741,431,downstream
286,454741:terminal_upstream:419,J454u,454741,419,upstream
287,454751:terminal_downstream:387,J455d,454751,387,downstream
288,454751:terminal_upstream:386,J455u,454751,386,upstream
289,454803:downstream:1054,B301d,454803,486,downstream
290,454803:upstream:1065,B301u,454803,491,upstream
291,455215:downstream:966,B324d,455215,439,downstream
292,455215:upstream:967,B324u,455215,440,upstream
293,455497:terminal_downstream:362,J511d,455497,362,downstream
294,455497:terminal_upstream:360,J511u,455497,360,upstream
295,455584:terminal_downstream:457,J524d,455584,457,downstream
296,455584:terminal_upstream:288,J524u,455584,288,upstream
297,455938:terminal_downstream:380,J551d,455938,380,downstream
298,455938:terminal_upstream:381,J551u,455938,381,upstream
299,457982:terminal_downstream:186,J687d,457982,186,downstream
300,457982:terminal_upstream:189,J687u,457982,189,upstream
301,458313:terminal_downstream:159,J722d,458313,159,downstream
302,458313:terminal_upstream:160,J722u,458313,160,upstream
303,627936:downstream:125,B474d,627936,45,downstream
304,627936:upstream:126,B474u,627936,46,upstream
305,628188:downstream:31,B505d,628188,15,downstream
306,CN06:terminal_downstream:971,J172d,CN06,971,downstream
307,CN06:terminal_upstream:957,J172u,CN06,957,upstream
308,CN08:terminal_downstream:1010,J59d,CN08,1010,downstream
309,CN08:terminal_upstream:1009,J59u,CN08,1009,upstream
310,CN100:terminal_downstream:635,J393d,CN100,635,downstream
311,CN100:terminal_upstream:706,J393u,CN100,706,upstream
312,CN106:terminal_downstream:280,J575d,CN106,280,downstream
313,CN106:terminal_upstream:281,J575u,CN106,281,upstream
314,CN11:terminal_downstream:300,J564d,CN11,300,downstream
315,CN11:terminal_upstream:292,J564u,CN11,292,upstream
316,CN123:terminal_downstream:1193,J62d,CN123,1193,downstream
317,CN123:terminal_upstream:1194,J62u,CN123,1194,upstream
318,CN12:terminal_downstream:962,J127d,CN12,962,downstream
319,CN12:terminal_upstream:963,J127u,CN12,963,upstream
320,CN152:terminal_downstream:865,J197d,CN152,865,downstream
321,CN152:terminal_upstream:869,J197u,CN152,869,upstream
322,CN185:terminal_downstream:13,J767d,CN185,13,downstream
323,CN185:terminal_upstream:14,J767u,CN185,14,upstream
324,CN21:terminal_downstream:3,J769d,CN21,3,downstream
325,CN21:terminal_upstream:4,J769u,CN21,4,upstream
326,CN38:terminal_downstream:1093,J129d,CN38,1093,downstream
327,CN38:terminal_upstream:1095,J129u,CN38,1095,upstream
328,CN57:terminal_downstream:767,J228d,CN57,767,downstream
329,CN57:terminal_upstream:758,J228u,CN57,758,upstream
330,CN59:terminal_downstream:748,J316d,CN59,748,downstream
331,CN59:terminal_upstream:757,J316u,CN59,757,upstream
332,CN68:terminal_downstream:597,J406d,CN68,597,downstream
333,CN68:terminal_upstream:603,J406u,CN68,603,upstream
334,CN82:terminal_downstream:185,J652d,CN82,185,downstream
335,CN82:terminal_upstream:184,J652u,CN82,184,upstream
336,CN92:terminal_downstream:30,J698d,CN92,30,downstream
337,CN92:terminal_upstream:28,J698u,CN92,28,upstream
338,CN99:terminal_downstream:681,J321d,CN99,681,downstream
339,CN99:terminal_upstream:680,J321u,CN99,680,upstream
340,RB04:terminal_upstream,RB04u,RB04,1348,upstream
