iteration,node_id,node_label,forward_incoming_road_id,forward_outgoing_road_id,forward_merged_road_id,reverse_incoming_road_id,reverse_outgoing_road_id,reverse_merged_road_id,road_type,lanes,speed_limit
1,1220919,J160,2433,2447,2433,2448,2434,2448,Enkel bilveg,1,40
2,1220920,J183,1979,1948,1979,1947,1960,1947,Enkel bilveg,1,40
3,1238649,J162,2298,1881,2298,1887,2314,1887,Enkel bilveg,1,40
4,1238651,J154,2305,2298,2305,1887,2299,1887,Enkel bilveg,1,40
5,1238667,J359,1414,1412,1414,1222,1413,1222,Enkel bilveg,1,40
6,1238887,J453,1095,1080,1095,1081,1096,1081,Enkel bilveg,1,40
7,1239317,J239,1702,1713,1702,1719,1701,1719,Enkel bilveg,1,40
8,1239590,J729,352,349,352,350,351,350,Enkel bilveg,1,40
9,1239689,J73,2594,2578,2594,2577,2593,2577,Enkel bilveg,1,40
10,1407841,J662,188,201,188,215,199,215,Enkel bilveg,1,40
11,1424810,J649,461,439,461,432,460,432,Enkel bilveg,1,40
12,1713042,J261,1676,1673,1676,1674,1677,1674,Enkel bilveg,2,60
13,1915933,J627,482,465,482,459,481,459,Enkel bilveg,1,40
14,1917131,J601,595,600,595,599,594,599,Enkel bilveg,1,40
15,1917145,J749,195,173,195,174,196,174,Enkel bilveg,1,40
16,1934867,J191,2246,2217,2246,2196,2229,2196,Enkel bilveg,1,40
17,2537549,J609,707,722,707,751,706,751,Enkel bilveg,1,40
18,2537572,J579,746,711,746,712,741,712,Enkel bilveg,1,40
19,2538388,J207,1943,1940,1943,1941,1944,1941,Enkel bilveg,1,40
20,2538391,J205,1903,1897,1903,1889,1904,1889,Enkel bilveg,1,40
21,2538392,J208,1933,1903,1933,1889,1915,1889,Enkel bilveg,1,40
22,2538418,J51,2350,2361,2350,2393,2349,2393,Enkel bilveg,1,40
23,2538419,J47,2324,2350,2324,2393,2323,2393,Enkel bilveg,1,40
24,2538422,J97,2101,2113,2101,2112,2100,2112,Enkel bilveg,1,40
25,2538485,J28,2312,2342,2312,2343,2315,2343,Enkel bilveg,1,40
26,2538501,J25,2199,2165,2199,2164,2216,2164,Enkel bilveg,1,40
27,2538539,J23,2479,2435,2479,2436,2480,2436,Enkel bilveg,1,60
28,2538544,J26,2436,2494,2436,2493,2479,2493,Enkel bilveg,1,60
29,2644146,J258,1740,1742,1740,1741,1739,1741,Enkel bilveg,1,40
30,2644148,J266,1696,1716,1696,1715,1695,1715,Enkel bilveg,1,40
31,2644150,J268,1755,1753,1755,1754,1756,1754,Enkel bilveg,1,40
32,2644159,J306,1472,1693,1472,1694,1473,1694,Enkel bilveg,1,40
33,2644160,J313,1678,1705,1678,1706,1679,1706,Enkel bilveg,1,40
34,2644163,J315,1485,1514,1485,1515,1486,1515,Enkel bilveg,1,40
35,2644167,J318,1556,1533,1556,1532,1548,1532,Enkel bilveg,1,40
36,2644188,J437,1139,1117,1139,1118,1140,1118,Enkel bilveg,1,40
37,2644189,J419,1105,1147,1105,1148,1104,1148,Enkel bilveg,1,40
38,2644190,J403,1353,1370,1353,1069,1352,1069,Enkel bilveg,1,40
39,2644193,J514,897,927,897,962,896,962,Enkel bilveg,1,40
40,2644223,J288,1697,1480,1697,1481,1698,1481,Enkel bilveg,2,60
41,2644253,J314,1551,1571,1551,1572,1552,1572,Enkel bilveg,2,60
42,2644266,J259,1682,1676,1682,1674,1683,1674,Enkel bilveg,2,60
43,2644277,J275,1481,1686,1481,1685,1697,1685,Enkel bilveg,2,60
44,2646611,J212,1949,1933,1949,1889,1950,1889,Enkel bilveg,1,40
45,2646617,J214,1811,2021,1811,2022,1812,2022,Enkel bilveg,1,40
46,2646619,J221,1817,1803,1817,1804,1818,1804,Enkel bilveg,1,40
47,2646620,J223,1831,1817,1831,1804,1832,1804,Enkel bilveg,1,40
48,2646624,J285,1613,1603,1613,1604,1610,1604,Enkel bilveg,1,40
49,2646625,J284,1630,1632,1630,1631,1629,1631,Enkel bilveg,1,40
50,2646630,J283,1547,1560,1547,1559,1546,1559,Enkel bilveg,1,40
51,2646633,J343,1398,1406,1398,1407,1399,1407,Enkel bilveg,1,40
52,2646634,J383,1227,1237,1227,1236,1229,1236,Enkel bilveg,1,40
53,2646637,J392,1265,1250,1265,1251,1266,1251,Enkel bilveg,1,40
54,2646721,J371,1195,1211,1195,1212,1196,1212,Enkel bilveg,1,60
55,2646752,J507,1039,1047,1039,1055,1038,1055,Enkel bilveg,2,60
56,2646776,J366,1276,1285,1276,1286,1277,1286,Enkel bilveg,1,60
57,2646821,J372,1243,1230,1243,1228,1242,1228,Enkel bilveg,1,60
58,2647273,J689,539,558,539,557,538,557,Enkel bilveg,1,40
59,2647992,J721,275,282,275,283,276,283,Enkel bilveg,1,40
60,2648061,J676,302,319,302,320,303,320,Enkel bilveg,1,40
61,2648063,J688,382,341,382,340,365,340,Enkel bilveg,1,40
62,2648128,J594,507,547,507,551,537,551,Enkel bilveg,2,60
63,2672629,J731,100,128,100,127,115,127,Enkel bilveg,1,40
64,2672631,J716,89,91,89,85,90,85,Enkel bilveg,1,40
65,2735688,J674,167,149,167,540,168,540,Enkel bilveg,1,40
66,2735694,J546,713,744,713,745,714,745,Enkel bilveg,1,40
67,2735695,J526,761,748,761,749,762,749,Enkel bilveg,1,60
68,2735698,J596,627,605,627,602,620,602,Enkel bilveg,1,40
69,2735701,J559,783,791,783,574,782,574,Enkel bilveg,1,40
70,2736147,J549,980,990,980,989,979,989,Enkel bilveg,1,40
71,2736150,J532,667,646,667,645,672,645,Enkel bilveg,1,40
72,2736154,J502,898,866,898,867,894,867,Enkel bilveg,1,40
73,2736161,J449,1116,1161,1116,1160,1115,1160,Enkel bilveg,1,40
74,2736162,J439,1075,1101,1075,1100,1074,1100,Enkel bilveg,1,40
75,2736163,J436,1100,1374,1100,1375,1075,1375,Enkel bilveg,1,40
76,2736164,J459,1081,1129,1081,1128,1095,1128,Enkel bilveg,1,40
77,2736174,J334,1521,1543,1521,1542,1537,1542,Enkel bilveg,1,40
78,2736175,J323,1586,1556,1586,1532,1582,1532,Enkel bilveg,1,40
79,2736176,J357,1565,1590,1565,1589,1564,1589,Enkel bilveg,1,40
80,2736194,J329,1587,1362,1587,1373,1588,1373,Enkel bilveg,2,60
81,2736815,J442,1260,1008,1260,1007,1259,1007,Enkel bilveg,1,40
82,2736816,J425,1255,1257,1255,1268,1256,1268,Enkel bilveg,1,40
83,2736819,J341,1422,1409,1422,1408,1421,1408,Enkel bilveg,1,40
84,2736822,J356,1436,1414,1436,1222,1430,1222,Enkel bilveg,1,40
85,2736855,J543,794,798,794,803,797,803,Enkel bilveg,1,40
86,2736879,J398,1223,1206,1223,1207,1217,1207,Enkel bilveg,1,60
87,2736886,J362,1439,1276,1439,1286,1440,1286,Enkel bilveg,1,60
88,2737008,J430,1268,1260,1268,1007,1255,1007,Enkel bilveg,1,40
89,2737698,J611,611,266,611,265,610,265,Enkel bilveg,1,40
90,2739889,J613,522,509,522,508,523,508,Enkel bilveg,1,40
91,2813999,J304,1488,1507,1488,1520,1487,1520,Enkel bilveg,1,40
92,2814000,J291,1685,1490,1685,1491,1481,1491,Enkel bilveg,2,60
93,2814001,J557,771,783,771,574,770,574,Enkel bilveg,1,40
94,2814327,J215,2020,2029,2020,2028,2019,2028,Enkel bilveg,1,40
95,3034364,J750,108,83,108,82,107,82,Enkel bilveg,1,40
96,3067928,J85,2541,2566,2541,2571,2564,2571,Enkel bilveg,1,40
97,3076518,J84,2556,2565,2556,2611,2555,2611,Enkel bilveg,1,60
98,3101151,J570,828,578,828,579,573,579,Enkel bilveg,1,40
99,3101152,J571,828,585,828,591,579,591,Enkel bilveg,1,40
100,3142190,J441,1375,1116,1375,1160,1100,1160,Enkel bilveg,1,40
101,3152357,J724,137,131,137,132,138,132,Enkel bilveg,1,40
102,3204437,J607,751,684,751,685,707,685,Enkel bilveg,1,40
103,3204441,J665,452,502,452,501,451,501,Enkel bilveg,1,40
104,3204447,J561,658,676,658,675,668,675,Enkel bilveg,1,40
105,3204448,J556,649,658,649,675,648,675,Enkel bilveg,1,40
106,3225759,J70,2484,2441,2484,2437,2478,2437,Enkel bilveg,1,40
107,3225769,J88,2450,2432,2450,2431,2440,2431,Enkel bilveg,2,60
108,3306973,J196,2276,2297,2276,2306,2275,2306,Enkel bilveg,1,40
109,3306975,J186,2196,2276,2196,2306,2246,2306,Enkel bilveg,1,40
110,3311933,J57,2547,2549,2547,2550,2548,2550,Enkel bilveg,1,40
111,3333101,J422,1164,1180,1164,1153,1182,1153,Enkel bilveg,1,40
112,3342440,J87,2518,2531,2518,2532,2519,2532,Enkel bilveg,1,40
113,3587264,J78,2124,2193,2124,2194,2125,2194,Enkel bilveg,1,40
114,3587289,J61,2182,2202,2182,2203,2183,2203,Enkel bilveg,1,40
115,3596790,J364,1493,1519,1493,1518,1492,1518,Enkel bilveg,1,40
116,3596811,J244,1702,1707,1702,1714,1719,1714,Enkel bilveg,1,40
117,3596946,J336,1442,1427,1442,1426,1435,1426,Enkel bilveg,1,40
118,3605661,J655,167,517,167,518,540,518,Enkel bilveg,1,40
119,3748353,J741,86,51,86,43,52,43,Enkel bilveg,1,40
120,3770675,J748,108,64,108,63,82,63,Enkel bilveg,1,40
121,3770688,J737,86,369,86,367,43,367,Enkel bilveg,1,40
122,3822483,J552,702,726,702,765,703,765,Enkel bilveg,1,40
123,3822500,J604,522,512,522,548,508,548,Enkel bilveg,1,40
124,451417,J04,2061,2077,2061,2076,2060,2076,Enkel bilveg,1,40
125,451530,J14,2377,2408,2377,2407,2383,2407,Enkel bilveg,1,60
126,451563,J17,2377,2436,2377,2493,2407,2493,Enkel bilveg,1,60
127,451648,J19,2087,2081,2087,2056,2088,2056,Enkel bilveg,1,40
128,451650,J20,2119,2087,2119,2056,2109,2056,Enkel bilveg,1,40
129,451760,J31,2310,2312,2310,2343,2311,2343,Enkel bilveg,1,40
130,451763,J32,2254,2285,2254,2301,2253,2301,Enkel bilveg,1,40
131,451807,J36,2092,2063,2092,2062,2091,2062,Enkel bilveg,1,40
132,451825,J40,2309,2324,2309,2393,2308,2393,Enkel bilveg,1,40
133,451905,J55,2171,2182,2171,2203,2174,2203,Enkel bilveg,1,40
134,451950,J60,2082,2057,2082,2058,2071,2058,Enkel bilveg,1,40
135,451988,J66,2577,2607,2577,2606,2594,2606,Enkel bilveg,1,40
136,452035,J71,2194,2093,2194,2065,2124,2065,Enkel bilveg,1,40
137,452126,J81,2208,2259,2208,2258,2267,2258,Enkel bilveg,1,40
138,452158,J82,2353,2393,2353,2309,2392,2309,Enkel bilveg,1,40
139,452250,J93,2058,2101,2058,2112,2082,2112,Enkel bilveg,1,40
140,452743,J167,2615,2598,2615,2597,2614,2597,Enkel bilveg,1,40
141,452780,J175,2624,2622,2624,2621,2623,2621,Enkel bilveg,1,40
142,452828,J181,2633,2631,2633,2617,2634,2617,Enkel bilveg,1,40
143,452986,J204,1931,1920,1931,1918,1932,1918,Enkel bilveg,1,40
144,453190,J229,1863,1831,1863,1804,1864,1804,Enkel bilveg,1,40
145,453223,J241,1845,1835,1845,1824,1844,1824,Enkel bilveg,1,40
146,453301,J251,1856,1850,1856,1838,1851,1838,Enkel bilveg,1,40
147,453344,J260,1872,1871,1872,1870,1879,1870,Enkel bilveg,1,40
148,453406,J274,1788,1547,1788,1559,1787,1559,Enkel bilveg,1,40
149,453426,J280,1618,1630,1618,1631,1617,1631,Enkel bilveg,1,40
150,453773,J333,1463,1457,1463,1456,1462,1456,Enkel bilveg,1,60
151,453824,J337,1397,1401,1397,1400,1396,1400,Enkel bilveg,1,40
152,453843,J342,1397,1398,1397,1407,1400,1407,Enkel bilveg,1,40
153,453861,J347,1521,1565,1521,1589,1542,1589,Enkel bilveg,1,40
154,453913,J353,1574,1493,1574,1518,1494,1518,Enkel bilveg,1,40
155,454205,J385,1577,1579,1577,1386,1578,1386,Enkel bilveg,1,40
156,454563,J433,1070,1375,1070,1160,1071,1160,Enkel bilveg,1,40
157,454622,J440,913,1219,913,1220,914,1220,Enkel bilveg,1,60
158,454858,J467,1090,1088,1090,1089,1091,1089,Enkel bilveg,1,40
159,454927,J470,995,1015,995,1014,994,1014,Enkel bilveg,1,60
160,454955,J472,880,854,880,855,881,855,Enkel bilveg,1,40
161,454998,J475,1059,1064,1059,1063,1058,1063,Enkel bilveg,1,40
162,455012,J479,995,1033,995,1032,1014,1032,Enkel bilveg,1,60
163,455795,J539,794,805,794,818,803,818,Enkel bilveg,1,40
164,455964,J554,980,649,980,675,989,675,Enkel bilveg,1,40
165,456168,J562,779,775,779,767,776,767,Enkel bilveg,2,60
166,456410,J572,670,669,670,664,671,664,Enkel bilveg,1,40
167,456415,J574,686,670,686,664,683,664,Enkel bilveg,1,40
168,456560,J583,486,507,486,551,485,551,Enkel bilveg,2,60
169,456759,J590,624,627,624,602,623,602,Enkel bilveg,1,40
170,456799,J597,593,577,593,566,589,566,Enkel bilveg,1,40
171,457068,J615,753,421,753,447,758,447,Enkel bilveg,1,40
172,457163,J622,213,211,213,212,214,212,Enkel bilveg,1,40
173,457259,J623,328,313,328,314,329,314,Enkel bilveg,1,40
174,457302,J629,482,447,482,753,459,753,Enkel bilveg,1,40
175,457398,J632,354,328,354,314,355,314,Enkel bilveg,1,40
176,457447,J633,212,309,212,308,213,308,Enkel bilveg,1,40
177,457698,J657,435,437,435,438,436,438,Enkel bilveg,1,40
178,457839,J669,452,525,452,524,501,524,Enkel bilveg,1,40
179,457930,J679,405,409,405,410,408,410,Enkel bilveg,1,40
180,458164,J701,181,153,181,154,182,154,Enkel bilveg,1,40
181,458258,J711,191,181,191,154,192,154,Enkel bilveg,1,40
182,458297,J723,209,248,209,247,208,247,Enkel bilveg,1,40
183,CN02,J21,2355,2374,2355,2375,2360,2375,Enkel bilveg,1,40
184,CN03,J27,2310,2355,2310,2375,2343,2375,Enkel bilveg,1,40
185,CN101,J452,1268,1017,1268,1023,1007,1023,Enkel bilveg,1,40
186,CN102,J428,1269,1307,1269,1318,1270,1318,Enkel bilveg,1,40
187,CN103,J402,1296,1265,1296,1251,1258,1251,Enkel bilveg,1,40
188,CN107,J758,108,66,108,65,63,65,Enkel bilveg,1,40
189,CN112,J184,1896,1912,1896,1923,1909,1923,Enkel bilveg,1,40
190,CN120,J691,456,472,456,477,455,477,Enkel bilveg,1,40
191,CN128,J188,1979,1926,1979,1925,1947,1925,Enkel bilveg,1,40
192,CN132,J534,983,977,983,976,982,976,Enkel bilveg,1,40
193,CN33,J573,746,689,746,690,712,690,Enkel bilveg,1,40
194,CN34,J209,1941,1971,1941,1982,1943,1982,Enkel bilveg,1,40
195,CN35,J206,1918,1941,1918,1982,1931,1982,Enkel bilveg,1,40
196,CN42,J15,2371,2375,2371,2310,2370,2310,Enkel bilveg,1,40
197,CN48,J143,2485,2489,2485,2492,2488,2492,Kanalisert veg,1,60
198,CN52,J190,1880,1885,1880,1886,1884,1886,Kanalisert veg,1,60
199,CN58,J299,1663,1672,1663,1671,1662,1671,Enkel bilveg,1,40
200,CN60,J317,1485,1532,1485,1586,1515,1586,Enkel bilveg,1,40
201,CN62,J210,1918,2000,1918,1999,1982,1999,Enkel bilveg,1,40
202,CN63,J211,2014,1999,2014,1918,2015,1918,Enkel bilveg,1,40
203,CN65,J231,1793,1825,1793,1826,1794,1826,Enkel bilveg,1,40
204,CN67,J386,1227,1251,1227,1296,1236,1296,Enkel bilveg,1,40
205,CN69,J217,1984,1969,1984,1970,1985,1970,Enkel bilveg,1,40
206,CN70,J634,461,493,461,514,432,514,Enkel bilveg,1,40
207,CN72,J695,191,557,191,539,154,539,Enkel bilveg,1,40
208,CN76,J684,302,340,302,382,320,382,Enkel bilveg,1,40
209,CN78,J600,604,611,604,265,603,265,Enkel bilveg,1,40
210,CN81,J621,604,314,604,354,265,354,Enkel bilveg,1,40
211,CN84,J637,235,245,235,244,240,244,Enkel bilveg,1,40
212,CN91,J699,89,75,89,74,85,74,Enkel bilveg,1,40
213,CN94,J553,795,827,795,830,796,830,Enkel bilveg,1,40
