id,node_id,node_label,node_type,rule_type,incoming,outgoing,turning_matrix,priority_ranks,alpha
1,1238650,J151,junction,turning,1062,1076 1077,"[[0.8, 0.2]]","[[1, 1]]",0.3
2,1240792,J710,junction,turning,241 1292,73 1291,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
3,1246082,J756,junction,turning,18,19,[[1.0]],[[1]],0.3
4,1402817,J391,junction,turning,1272 1276,1271 1275,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
5,1405658,J650,junction,turning,175 1278,176 1277,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
6,1407834,J708,junction,turning,112 119 129,120 124,"[[0.5, 0.5], [0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2], [3, 3]]",0.3
7,1411087,J166,junction,turning,1227 1296,1228 1295,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
8,1411108,J235,junction,turning,737 738,736 739,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
9,1412982,J126,junction,turning,1031 1041 1043,991 1025 1042,"[[0.8, 0.1, 0.1], [0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
10,1425306,J755,junction,turning,12 134,10 135,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
11,1471821,J720,junction,turning,28 33 166,29 30 31,"[[0.2, 0.4, 0.4], [0.2, 0.4, 0.4], [0.8, 0.1, 0.1]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
12,1713043,J267,junction,turning,760,753 755,"[[0.2, 0.8]]","[[1, 1]]",0.3
13,1817921,J110,junction,turning,927 954,926 943,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
14,1915946,J628,junction,turning,316 1262,315 1261,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
15,1917096,J113,junction,turning,1068 1081,1063,"[[1.0], [1.0]]","[[1], [2]]",0.3
16,1917147,J501,junction,turning,395 410 411,408 409 412,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
17,1917149,J483,junction,turning,383 394 397,382 396 398,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
18,1935608,J725,junction,turning,48 1286,51 1285,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
19,2221468,J139,junction,turning,1217,1218 1224,"[[0.8, 0.2]]","[[1, 1]]",0.3
20,2221471,J158,junction,turning,907,1199 1200,"[[0.8, 0.2]]","[[1, 1]]",0.3
21,2221472,J177,junction,turning,905 1199,903 907,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
22,2228113,J365,junction,turning,631,632 633,"[[0.8, 0.2]]","[[1, 1]]",0.3
23,2479050,J424,junction,turning,555 564,554 560,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
24,2538407,J100,junction,turning,1053 1072,1073 1075,"[[0.2, 0.8], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
25,2538414,J104,junction,turning,1034 1061,1055 1058,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
26,2538415,J101,junction,turning,1057 1065,1060 1064,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
27,2538421,J74,junction,turning,988 1018,989 1008,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
28,2538476,J24,junction,turning,913 948 956,936 945 946,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
29,2538489,J89,junction,turning,1182 1186 1202,1184 1187,"[[0.5, 0.5], [0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2], [3, 3]]",0.3
30,2538490,J92,junction,turning,1164 1183,1180 1186,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
31,2538522,J18,junction,turning,965 967,966 983,"[[0.2, 0.8], [0.8, 0.2]]","[[1, 1], [2, 2]]",0.3
32,2538562,J115,junction,turning,1025 1042,1041 1043,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
33,2541046,J157,junction,turning,1088 1096,1090 1097 1098,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2]]",0.3
34,2541056,J11,junction,turning,912 922,921 923,"[[0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
35,2547541,J105,junction,turning,911 918,910 919,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
36,2547542,J108,junction,turning,919 926,918 927,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
37,2642376,J22,junction,turning,946 966 983,956 965 967,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
38,2644154,J276,junction,turning,678 779 793,679 780 792,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
39,2644169,J327,junction,turning,671 1260,672 1259,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
40,2644279,J273,junction,turning,792 1284,793 1283,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
41,2646686,J447,junction,turning,471 484 485,470 482 483,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
42,2646723,J461,junction,turning,483 1300,484 1299,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
43,2646754,J500,junction,turning,477 487,478 481,"[[0.5, 0.5], [0.5, 0.5]]","[[2, 2], [1, 1]]",0.3
44,2646758,J380,junction,turning,600 616,601 615,"[[0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
45,2646761,J389,junction,turning,584 587 590,585 586 588,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
46,2646762,J388,junction,turning,588 1271,590 1272,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
47,2646769,J434,junction,turning,613 618,614 617,"[[0.5, 0.5], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
48,2647256,J656,junction,turning,195 213 230,194 208 214,"[[0.4, 0.2, 0.4], [0.4, 0.2, 0.4], [0.1, 0.8, 0.1]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
49,2647261,J670,junction,turning,197 203 210,196 204 209,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
50,2647291,J700,junction,turning,192 1258,193 1257,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
51,2648051,J740,junction,turning,62 92 95,74 89 90,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
52,2648052,J734,junction,turning,89 90,92 95,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
53,2648060,J671,junction,turning,126 141 171,127 139 140,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
54,2648102,J686,junction,turning,139 163 180,168 171 173,"[[0.1, 0.8, 0.1], [0.4, 0.2, 0.4], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
55,2648106,J585,junction,turning,247 249 251,248 250 252,"[[0.1, 0.8, 0.1], [0.4, 0.2, 0.4], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
56,2670204,J547,junction,turning,366 372,368 369,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
57,2670206,J582,junction,turning,252 265,251 261,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
58,2670207,J589,junction,turning,248 259,249 258,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
59,2670208,J608,junction,turning,255,256 264,"[[0.8, 0.2]]","[[1, 1]]",0.3
60,2670219,J496,junction,turning,434 440,438 439,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
61,2672630,J727,junction,turning,31 32 47,33 34 35,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
62,2672667,J719,junction,turning,51 1246,48 1245,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
63,2735692,J569,junction,turning,199 201,198 200,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
64,2735693,J566,junction,turning,198 200 348,199 201 347,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
65,2735699,J545,junction,turning,351 365 376,350 352 353,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
66,2736146,J529,junction,turning,448 453,450 451 452,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2]]",0.3
67,2736206,J445,junction,turning,1266 1270,1265 1269,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
68,2736854,J505,junction,turning,469 1294,489 1293,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
69,2736882,J332,junction,turning,666 1252,667 1251,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
70,2739872,J630,junction,turning,308 1261 1268,307 1262 1267,"[[0.8, 0.1, 0.1], [0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
71,2745084,J715,junction,turning,44 1250,43 1249,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
72,2745263,J717,junction,turning,43 1245,44 1246,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
73,2813573,J49,junction,turning,1117 1122 1171,1118 1121 1136,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
74,2814040,J651,junction,turning,184 1277,185 1278,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
75,2815447,J626,junction,turning,290 1267,298 1268,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
76,2815729,J726,junction,turning,111 1291,83 1292,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
77,2815775,J237,junction,turning,736 739 759,737 738 756,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
78,3067874,J290,junction,turning,745 1279,741 1280,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
79,3078340,J79,junction,turning,1229 1230,1301,"[[1.0], [1.0]]","[[1], [2]]",0.3
80,3078485,J80,junction,turning,766 772,1302,"[[1.0], [1.0]]","[[1], [2]]",0.3
81,3078496,J81,junction,turning,904 906,1303,"[[1.0], [1.0]]","[[1], [2]]",0.3
82,3078505,J82,junction,turning,552 563,1304,"[[1.0], [1.0]]","[[1], [2]]",0.3
83,3078521,J83,junction,turning,88 102,1305,"[[1.0], [1.0]]","[[1], [2]]",0.3
84,3078524,J84,junction,turning,138 142,1306,"[[1.0], [1.0]]","[[1], [2]]",0.3
85,3083404,J85,junction,turning,569 572,1307,"[[1.0], [1.0]]","[[1], [2]]",0.3
86,3083594,J86,junction,turning,438 442,1308,"[[1.0], [1.0]]","[[1], [2]]",0.3
87,3101148,J565,junction,turning,254 273 358,253 361 374,"[[0.4, 0.4, 0.2], [0.1, 0.1, 0.8], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
88,3101150,J581,junction,turning,271 277 374,270 272 273,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
89,3142193,J446,junction,turning,522 1269,497 1270,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
90,3182400,J133,junction,turning,1013 1014,1029,"[[1.0], [1.0]]","[[1], [2]]",0.3
91,3204070,J409,junction,turning,495 1244,623 1243,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
92,3225774,J77,junction,turning,1114 1116 1151,1126 1148 1150,"[[0.4, 0.2, 0.4], [0.1, 0.8, 0.1], [0.4, 0.2, 0.4]]","[[1, 1, 1], [3, 3, 3], [2, 2, 2]]",0.3
93,3225781,J41,junction,turning,1173 1288,1174 1287,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
94,3289385,J94,junction,turning,131 132,1309,"[[1.0], [1.0]]","[[1], [2]]",0.3
95,3289393,J95,junction,turning,56 58,1310,"[[1.0], [1.0]]","[[1], [2]]",0.3
96,3289395,J96,junction,turning,65 67,1311,"[[1.0], [1.0]]","[[1], [2]]",0.3
97,3289405,J97,junction,turning,115 116,1312,"[[1.0], [1.0]]","[[1], [2]]",0.3
98,3289782,J98,junction,turning,782 784,1313,"[[1.0], [1.0]]","[[1], [2]]",0.3
99,3289793,J99,junction,turning,796 797,1314,"[[1.0], [1.0]]","[[1], [2]]",0.3
100,3289802,J100,junction,turning,742 743,1315,"[[1.0], [1.0]]","[[1], [2]]",0.3
101,3289806,J101,junction,turning,749 750,1316,"[[1.0], [1.0]]","[[2], [1]]",0.3
102,3289896,J102,junction,turning,472 474,1317,"[[1.0], [1.0]]","[[1], [2]]",0.3
103,3289900,J103,junction,turning,464 466,1318,"[[1.0], [1.0]]","[[1], [2]]",0.3
104,3289907,J104,junction,turning,560 561,1319,"[[1.0], [1.0]]","[[1], [2]]",0.3
105,3289915,J105,junction,turning,855 859,1320,"[[1.0], [1.0]]","[[2], [1]]",0.3
106,3290217,J106,junction,turning,943 952,1321,"[[1.0], [1.0]]","[[1], [2]]",0.3
107,3290220,J107,junction,turning,951 955,1322,"[[1.0], [1.0]]","[[1], [2]]",0.3
108,3290226,J108,junction,turning,961 968,1323,"[[1.0], [1.0]]","[[1], [2]]",0.3
109,3290230,J109,junction,turning,975 1007,1324,"[[1.0], [1.0]]","[[1], [2]]",0.3
110,3290238,J110,junction,turning,987 995,1325,"[[1.0], [1.0]]","[[1], [2]]",0.3
111,3290243,J111,junction,turning,1000 1001,1326,"[[1.0], [1.0]]","[[2], [1]]",0.3
112,3290936,J112,junction,turning,1005 1021,1327,"[[1.0], [1.0]]","[[1], [2]]",0.3
113,3290940,J113,junction,turning,1028 1030,1328,"[[1.0], [1.0]]","[[1], [2]]",0.3
114,3291645,J114,junction,turning,1086 1089,1329,"[[1.0], [1.0]]","[[1], [2]]",0.3
115,3291787,J115,junction,turning,1209 1214,1330,"[[1.0], [1.0]]","[[1], [2]]",0.3
116,3291789,J116,junction,turning,1212 1213,1331,"[[1.0], [1.0]]","[[1], [2]]",0.3
117,3291799,J117,junction,turning,902 903,1332,"[[1.0], [1.0]]","[[1], [2]]",0.3
118,3291800,J118,junction,turning,895 897,1333,"[[1.0], [1.0]]","[[1], [2]]",0.3
119,3291808,J119,junction,turning,1235 1237,1334,"[[1.0], [1.0]]","[[1], [2]]",0.3
120,3291810,J120,junction,turning,1234 1236,1335,"[[1.0], [1.0]]","[[1], [2]]",0.3
121,3291816,J121,junction,turning,1135 1140,1336,"[[1.0], [1.0]]","[[1], [2]]",0.3
122,3291818,J122,junction,turning,1144 1147,1337,"[[1.0], [1.0]]","[[1], [2]]",0.3
123,3294286,J123,junction,turning,880 882,1338,"[[1.0], [1.0]]","[[1], [2]]",0.3
124,3294427,J124,junction,turning,596 599,1339,"[[1.0], [1.0]]","[[1], [2]]",0.3
125,3294435,J125,junction,turning,589 594,1340,"[[1.0], [1.0]]","[[1], [2]]",0.3
126,3294450,J126,junction,turning,378 379,1341,"[[1.0], [1.0]]","[[1], [2]]",0.3
127,3311936,J46,junction,turning,1194 1256 1287,1193 1255 1288,"[[0.8, 0.1, 0.1], [0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
128,3342390,J79,junction,turning,1178 1190,1168 1188,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
129,3342394,J69,junction,turning,1177 1192,1181 1185,"[[0.8, 0.2], [0.5, 0.5]]","[[1, 1], [2, 2]]",0.3
130,3342422,J130,junction,turning,1105 1112,1342,"[[1.0], [1.0]]","[[1], [2]]",0.3
131,3342425,J131,junction,turning,1111 1123,1343,"[[1.0], [1.0]]","[[1], [2]]",0.3
132,3342429,J80,junction,turning,1220,1196 1197,"[[0.2, 0.8]]","[[1, 1]]",0.3
133,3342457,J133,junction,turning,1188 1191,1344,"[[1.0], [1.0]]","[[1], [2]]",0.3
134,3342460,J91,junction,turning,1107 1126,1112 1114,"[[0.5, 0.5], [0.2, 0.8]]","[[2, 2], [1, 1]]",0.3
135,3342466,J135,junction,turning,1167 1170,1345,"[[1.0], [1.0]]","[[1], [2]]",0.3
136,3342467,J136,junction,turning,1185 1189,1346,"[[1.0], [1.0]]","[[1], [2]]",0.3
137,3342487,J72,junction,turning,1216,1195 1198,"[[0.2, 0.8]]","[[1, 1]]",0.3
138,3342493,J65,junction,turning,1150,1151 1161,"[[0.8, 0.2]]","[[1, 1]]",0.3
139,3342501,J139,junction,turning,1099 1104,1347,"[[1.0], [1.0]]","[[1], [2]]",0.3
140,3342502,J58,junction,turning,1169 1176,1170 1175,"[[0.5, 0.5], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
141,3342505,J64,junction,turning,1181,1172 1177,"[[0.2, 0.8]]","[[1, 1]]",0.3
142,3551002,J330,junction,turning,670 1259,669 1260,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
143,3581603,J90,junction,turning,1168 1184,1178 1182 1183,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2]]","[[1, 1, 1], [2, 2, 2]]",0.3
144,3587470,J142,junction,turning,1076 1085,1059 1062,"[[0.2, 0.8], [0.8, 0.2]]","[[1, 1], [2, 2]]",0.3
145,3596884,J417,junction,turning,492 1282,493 1281,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
146,3605101,J146,junction,turning,845 1059,1050,"[[1.0], [1.0]]","[[1], [2]]",0.3
147,3642193,J02,junction,turning,979 1290,978 1289,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
148,3748282,J714,junction,turning,49 1249,50 1250,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
149,3770650,J728,junction,turning,34 1285,32 1286,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
150,3822510,J591,junction,turning,302 318 325,301 317 326,"[[0.8, 0.1, 0.1], [0.2, 0.4, 0.4], [0.2, 0.4, 0.4]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
151,3822554,J697,junction,turning,215 1257,206 1258,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
152,3921005,J278,junction,turning,620 1248,1247,"[[1.0], [1.0]]","[[1], [2]]",0.3
153,3921008,J407,junction,turning,461 1253,1254,"[[1.0], [1.0]]","[[1], [2]]",0.3
154,3921009,J510,junction,turning,1298,461 1297,"[[0.2, 0.8]]","[[1, 1]]",0.3
155,3921011,J279,junction,turning,1247 1283,619 1248 1284,"[[0.1, 0.8, 0.1], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2]]",0.3
156,3966853,J586,junction,turning,303 317 337,318 328 331,"[[0.4, 0.4, 0.2], [0.4, 0.4, 0.2], [0.1, 0.1, 0.8]]","[[1, 1, 1], [2, 2, 2], [3, 3, 3]]",0.3
157,3966867,J451,junction,turning,1265 1273,1266 1274,"[[0.8, 0.2], [0.2, 0.8]]","[[1, 1], [2, 2]]",0.3
