entry_index	target_row_index	node_label	node_type	junction_id	row	incoming_road	outgoing_road	local_outgoing_index	matrix_column	true_turning_fraction
1	1	J686	junction	54	1	139	168	1	1	0.09361418821
2	1	J686	junction	54	1	139	171	2	2	0.8485888076
3	1	J686	junction	54	1	139	173	3	3	0.0577970042
4	2	J686	junction	54	2	163	168	1	1	0.4909049022
5	2	J686	junction	54	2	163	171	2	2	0.2553048155
6	2	J686	junction	54	2	163	173	3	3	0.2537902823
7	3	J686	junction	54	3	180	168	1	1	0.5068835416
8	3	J686	junction	54	3	180	171	2	2	0.2399326074
9	3	J686	junction	54	3	180	173	3	3	0.2531838511
10	4	J168	junction	196	1	939	969	1	1	0.5007600539
11	4	J168	junction	196	1	939	971	2	2	0.2183178039
12	4	J168	junction	196	1	939	972	3	3	0.2809221422
13	5	J168	junction	196	2	957	969	1	1	0.120008088
14	5	J168	junction	196	2	957	971	2	2	0.7942807287
15	5	J168	junction	196	2	957	972	3	3	0.08571118326
16	6	J168	junction	196	3	986	969	1	1	0.4189197906
17	6	J168	junction	196	3	986	971	2	2	0.171321574
18	6	J168	junction	196	3	986	972	3	3	0.4097586354
19	7	J245	junction	219	1	801	800	1	1	0.3612270427
20	7	J245	junction	219	1	801	806	2	2	0.1525558405
21	7	J245	junction	219	1	801	809	3	3	0.4862171168
22	8	J245	junction	219	2	807	800	1	1	0.1002509384
23	8	J245	junction	219	2	807	806	2	2	0.7256465793
24	8	J245	junction	219	2	807	809	3	3	0.1741024823
25	9	J245	junction	219	3	808	800	1	1	0.2870969281
26	9	J245	junction	219	3	808	806	2	2	0.1421794519
27	9	J245	junction	219	3	808	809	3	3	0.57072362
28	10	J411	junction	258	1	565	570	1	1	0.3260774451
29	10	J411	junction	258	1	565	574	2	2	0.3542853025
30	10	J411	junction	258	1	565	575	3	3	0.3196372524
31	11	J411	junction	258	2	566	570	1	1	0.3326651788
32	11	J411	junction	258	2	566	574	2	2	0.3894213042
33	11	J411	junction	258	2	566	575	3	3	0.277913517
34	12	J411	junction	258	3	576	570	1	1	0.08057718231
35	12	J411	junction	258	3	576	574	2	2	0.09821284373
36	12	J411	junction	258	3	576	575	3	3	0.821209974
37	13	J416	junction	261	1	507	520	1	1	0.08585171273
38	13	J416	junction	261	1	507	533	2	2	0.8350226374
39	13	J416	junction	261	1	507	535	3	3	0.0791256499
40	14	J416	junction	261	2	519	520	1	1	0.4424993428
41	14	J416	junction	261	2	519	533	2	2	0.2571829325
42	14	J416	junction	261	2	519	535	3	3	0.3003177247
43	15	J416	junction	261	3	543	520	1	1	0.4804376639
44	15	J416	junction	261	3	543	533	2	2	0.2584001043
45	15	J416	junction	261	3	543	535	3	3	0.2611622318
46	16	J635	junction	308	1	54	103	1	1	0.5033156413
47	16	J635	junction	308	1	54	104	2	2	0.2465759607
48	16	J635	junction	308	1	54	105	3	3	0.250108398
49	17	J635	junction	308	2	72	103	1	1	0.5058520174
50	17	J635	junction	308	2	72	104	2	2	0.2267304274
51	17	J635	junction	308	2	72	105	3	3	0.2674175552
52	18	J635	junction	308	3	110	103	1	1	0.119554461
53	18	J635	junction	308	3	110	104	2	2	0.8032404603
54	18	J635	junction	308	3	110	105	3	3	0.07720507866
55	19	J644	junction	339	1	224	52	1	1	0.2980140145
56	19	J644	junction	339	1	224	232	2	2	0.2435232537
57	19	J644	junction	339	1	224	235	3	3	0.1999885846
58	19	J644	junction	339	1	224	236	4	4	0.2584741473
59	20	J644	junction	339	2	225	52	1	1	0.2671144812
60	20	J644	junction	339	2	225	232	2	2	0.2218877051
61	20	J644	junction	339	2	225	235	3	3	0.1900868157
62	20	J644	junction	339	2	225	236	4	4	0.320910998
63	21	J644	junction	339	3	227	52	1	1	0.2330589682
64	21	J644	junction	339	3	227	232	2	2	0.2048826143
65	21	J644	junction	339	3	227	235	3	3	0.1893420201
66	21	J644	junction	339	3	227	236	4	4	0.3727163975
67	22	J246	junction	386	1	790	791	1	1	0.6753648945
68	22	J246	junction	386	1	790	795	2	2	0.3246351055
69	23	J641	junction	457	1	98	81	1	1	0.3326582023
70	23	J641	junction	457	1	98	87	2	2	0.6673417977
71	24	RB08	roundabout	475	1	1063	1047	1	1	0.1887377939
72	24	RB08	roundabout	475	1	1063	1049	2	2	0.2156502512
73	24	RB08	roundabout	475	1	1063	1052	3	3	0.2559292859
74	24	RB08	roundabout	475	1	1063	1056	4	4	0.339682669
75	25	RB10	roundabout	477	1	1012	1006	1	1	0.2756346244
76	25	RB10	roundabout	477	1	1012	1007	2	2	0.3325639456
77	25	RB10	roundabout	477	1	1012	1016	3	3	0.39180143
78	26	RB10	roundabout	477	2	1047	1006	1	1	0.3064235083
79	26	RB10	roundabout	477	2	1047	1007	2	2	0.3748266199
80	26	RB10	roundabout	477	2	1047	1016	3	3	0.3187498719
81	27	RB14	roundabout	481	1	1052	993	1	1	0.1370668986
82	27	RB14	roundabout	481	1	1052	994	2	2	0.1627160998
83	27	RB14	roundabout	481	1	1052	995	3	3	0.1859955473
84	27	RB14	roundabout	481	1	1052	996	4	4	0.2024412104
85	27	RB14	roundabout	481	1	1052	998	5	5	0.2083275524
86	27	RB14	roundabout	481	1	1052	1000	6	6	0.1034526915
87	28	RB18	roundabout	485	1	783	781	1	1	0.3714557218
88	28	RB18	roundabout	485	1	783	784	2	2	0.4123240887
89	28	RB18	roundabout	485	1	783	794	3	3	0.2162201895
90	29	RB18	roundabout	485	2	798	781	1	1	0.396902516
91	29	RB18	roundabout	485	2	798	784	2	2	0.4027341383
92	29	RB18	roundabout	485	2	798	794	3	3	0.2003633456
93	30	RB19	roundabout	486	1	777	797	1	1	0.6632352944
94	30	RB19	roundabout	486	1	777	798	2	2	0.3367647056
95	31	RB19	roundabout	486	2	799	797	1	1	0.6283055034
96	31	RB19	roundabout	486	2	799	798	2	2	0.3716944966
97	32	RB20	roundabout	487	1	768	771	1	1	0.2618012881
98	32	RB20	roundabout	487	1	768	772	2	2	0.21502642
99	32	RB20	roundabout	487	1	768	775	3	3	0.1757039465
100	32	RB20	roundabout	487	1	768	776	4	4	0.1452665893
101	32	RB20	roundabout	487	1	768	777	5	5	0.2022017561
102	33	RB23	roundabout	490	1	548	551	1	1	0.3462674085
103	33	RB23	roundabout	490	1	548	552	2	2	0.2844559279
104	33	RB23	roundabout	490	1	548	557	3	3	0.3692766635
105	34	RB23	roundabout	490	2	553	551	1	1	0.3021528261
106	34	RB23	roundabout	490	2	553	552	2	2	0.2590793295
107	34	RB23	roundabout	490	2	553	557	3	3	0.4387678443
108	35	RB24	roundabout	491	1	562	561	1	1	0.354151074
109	35	RB24	roundabout	491	1	562	564	2	2	0.645848926
110	36	RB24	roundabout	491	2	567	561	1	1	0.3321790666
111	36	RB24	roundabout	491	2	567	564	2	2	0.6678209334
112	37	RB28	roundabout	495	1	108	115	1	1	0.0597532262
113	37	RB28	roundabout	495	1	108	116	2	2	0.06637418218
114	37	RB28	roundabout	495	1	108	123	3	4	0.07712541654
115	37	RB28	roundabout	495	1	108	130	4	5	0.7967471751
116	38	RB28	roundabout	495	2	122	115	1	1	0.0684116138
117	38	RB28	roundabout	495	2	122	116	2	2	0.0812487774
118	38	RB28	roundabout	495	2	122	117	3	3	0.09876736801
119	38	RB28	roundabout	495	2	122	130	4	5	0.7515722408
120	39	RB28	roundabout	495	3	125	115	1	1	0.1618176795
121	39	RB28	roundabout	495	3	125	116	2	2	0.09897722401
122	39	RB28	roundabout	495	3	125	117	3	3	0.1206537795
123	39	RB28	roundabout	495	3	125	123	4	4	0.1441552394
124	39	RB28	roundabout	495	3	125	130	5	5	0.4743960777
125	40	RB28	roundabout	495	4	151	115	1	1	0.1047798359
126	40	RB28	roundabout	495	4	151	116	2	2	0.1263820033
127	40	RB28	roundabout	495	4	151	117	3	3	0.1479954726
128	40	RB28	roundabout	495	4	151	130	4	5	0.6208426882
129	41	RB29	roundabout	496	1	130	151	1	1	0.4035299007
130	41	RB29	roundabout	496	1	130	154	2	2	0.5964700993
131	42	RB29	roundabout	496	2	149	151	1	1	0.8167737525
132	42	RB29	roundabout	496	2	149	154	2	2	0.1832262475
133	43	RB29	roundabout	496	3	155	151	1	1	0.8242018087
134	43	RB29	roundabout	496	3	155	154	2	2	0.1757981913
135	44	RB30	roundabout	497	1	93	101	1	1	0.3153225725
136	44	RB30	roundabout	497	1	93	102	2	2	0.2770249858
137	44	RB30	roundabout	497	1	93	106	3	3	0.2340617563
138	44	RB30	roundabout	497	1	93	108	4	4	0.1735906854
139	45	RB30	roundabout	497	2	117	101	1	1	0.3122290488
140	45	RB30	roundabout	497	2	117	102	2	2	0.2592788299
141	45	RB30	roundabout	497	2	117	106	3	3	0.2120829778
142	45	RB30	roundabout	497	2	117	108	4	4	0.2164091434
