sample	weight	z_j54_r1_k1	z_j54_r1_k2	z_j54_r2_k1	z_j54_r2_k2	z_j54_r3_k1	z_j54_r3_k2	z_j196_r1_k1	z_j196_r1_k2	z_j196_r2_k1	z_j196_r2_k2	z_j196_r3_k1	z_j196_r3_k2	z_j219_r1_k1	z_j219_r1_k2	z_j219_r2_k1	z_j219_r2_k2	z_j219_r3_k1	z_j219_r3_k2	z_j258_r1_k1	z_j258_r1_k2	z_j258_r2_k1	z_j258_r2_k2	z_j258_r3_k1	z_j258_r3_k2	z_j261_r1_k1	z_j261_r1_k2	z_j261_r2_k1	z_j261_r2_k2	z_j261_r3_k1	z_j261_r3_k2	z_j308_r1_k1	z_j308_r1_k2	z_j308_r2_k1	z_j308_r2_k2	z_j308_r3_k1	z_j308_r3_k2	z_j339_r1_k1	z_j339_r1_k2	z_j339_r1_k3	z_j339_r2_k1	z_j339_r2_k2	z_j339_r2_k3	z_j339_r3_k1	z_j339_r3_k2	z_j339_r3_k3	z_j386_r1_k1	z_j457_r1_k1	z_j475_r1_k1	z_j475_r1_k2	z_j475_r1_k3	z_j477_r1_k1	z_j477_r1_k2	z_j477_r2_k1	z_j477_r2_k2	z_j481_r1_k1	z_j481_r1_k2	z_j481_r1_k3	z_j481_r1_k4	z_j481_r1_k5	z_j485_r1_k1	z_j485_r1_k2	z_j485_r2_k1	z_j485_r2_k2	z_j486_r1_k1	z_j486_r2_k1	z_j487_r1_k1	z_j487_r1_k2	z_j487_r1_k3	z_j487_r1_k4	z_j490_r1_k1	z_j490_r1_k2	z_j490_r2_k1	z_j490_r2_k2	z_j491_r1_k1	z_j491_r2_k1	z_j495_r1_k1	z_j495_r1_k2	z_j495_r1_k3	z_j495_r2_k1	z_j495_r2_k2	z_j495_r2_k3	z_j495_r3_k1	z_j495_r3_k2	z_j495_r3_k3	z_j495_r3_k4	z_j495_r4_k1	z_j495_r4_k2	z_j495_r4_k3	z_j496_r1_k1	z_j496_r2_k1	z_j496_r3_k1	z_j497_r1_k1	z_j497_r1_k2	z_j497_r1_k3	z_j497_r2_k1	z_j497_r2_k2	z_j497_r2_k3
1	0.015625	0.193068002	0.3676508831	1.334621276	-0.3338906915	-0.4035585877	0.3576630366	-0.7135586886	1.31334133	-1.118556643	1.169998683	-1.671413357	1.799969217	0.8284423622	-0.669440866	-1.470929894	-1.204457443	-0.6055837582	-0.1690246215	-0.6392158403	0.09980091454	1.962696039	0.1093430977	-1.19638722	0.9661712213	0.9666425264	-1.182674991	0.009352073193	-1.155205128	-0.1582958048	0.1717755145	-0.4299352801	2.855120436	1.395525067	2.506244061	3.898828903	-0.9637511086	0.3410172777	1.765167099	0.2237004322	1.32769864	-1.45753214	1.489869214	-0.5124800339	-1.038896554	1.817619585	0.1719337873	-0.2153145259	0.1749770281	1.823693338	-0.8930336511	2.83685395	-1.468794547	-1.137547443	-1.380361302	0.09331082201	-1.695076197	0.2044272727	1.547711217	2.500818423	-1.339803096	-0.6135063193	0.03403932754	-0.1202151843	0.9246020902	0.04234825137	-0.7116448276	1.956392785	3.710202847	-1.237409698	0.5477761299	-0.1186168417	-0.06378771995	-2.293163692	1.034702249	1.471593581	-1.887388058	0.6344858373	-0.4869091382	1.285765069	0.1403033344	-0.8833051422	-0.8196141771	1.291041165	1.277624787	0.6274472422	0.6291268178	-1.660867901	-0.3529128363	-0.2861388668	-2.027169455	-0.300130429	-2.462329639	-0.4647086997	-0.05805890888	1.225098233	-0.8251869495	-0.3414352027
2	0.015625	-1.322777157	0.1632609325	-0.7775888502	-0.04765227192	-0.05136102683	-0.3422366234	0.8299486268	0.7250165871	1.241119879	-0.1639596301	0.1531518833	-0.8484373165	0.3309203327	-1.824586839	-0.632605574	-2.124508277	-1.17403748	1.39814846	-0.6893866479	-0.0371129481	-2.574738439	-1.849509708	-0.4321685147	0.7512811521	1.667648674	0.6157046416	-0.1344563915	1.088217759	-2.133938618	-0.4542062517	1.394449563	0.6556382515	0.9305518123	-1.733833928	-2.394262983	0.1043293496	-0.6459145454	0.64436364	0.3129842415	-2.375701274	0.8065204517	-1.111876709	0.9316657801	-0.7018854457	0.581163764	1.246842868	-0.8011588765	-0.3998878297	1.409083332	-1.219396344	1.706069206	-3.70946604	0.5036883203	-2.090772957	-0.3328487294	1.857771778	0.1987497486	-1.186667478	-0.03616226093	-1.029616867	0.2973026692	0.9558727381	0.7410832644	0.7514390395	1.182484962	0.9150361961	0.5800155994	-0.7920213117	-1.110846535	-0.2479063221	0.1087546734	-1.596751277	-1.023878711	-0.797564919	-0.06252233702	1.203388519	-0.09073840055	0.9391692002	-0.9915661869	0.04224892507	-0.9453886345	0.8665522842	0.8886202843	-0.08145905331	-1.124557613	-1.306826522	0.4658311105	0.8259377576	0.4301761686	-0.8969889457	0.6379883085	0.1683721067	-1.967120918	-3.463127235	-0.3302374799	0.351250916	-0.5893177829
3	0.015625	1.762298141	0.07827779775	0.3889060456	-0.9057472137	-0.946914032	-0.4494155772	-0.3297551718	-0.5806714115	-0.04833236357	-0.4208357598	0.8676632533	-0.1763134777	-1.094166892	0.7234885143	-0.5904898717	-0.2370667753	0.9353184825	2.285516674	-1.99567801	-0.2386307237	-0.9994221177	-0.8329041013	-1.643168499	1.091489081	1.530748921	-2.361804152	-0.8062571793	0.7805719397	-0.9157603949	-1.245650024	-0.2683429579	0.002196450615	0.778011713	0.9220871527	0.7605210573	-1.39069376	0.7095765901	1.562911272	0.2528000006	-0.5109042228	-1.122990531	1.846089517	-1.067816074	1.778848932	0.1209115315	-0.1836735335	0.126558989	0.439468879	0.9546125863	1.759362365	0.1247810924	0.580750402	0.1524839194	-0.4599937596	-0.6819738127	-1.313083103	-0.04483800686	-0.6329112887	0.5945285752	-0.8448747178	0.7710214224	-0.454558238	0.4322546453	0.611453618	0.4859652628	0.2951526643	1.40641352	1.024444989	-2.087075545	0.4461918617	-1.05494231	-1.448239831	-1.19679002	-1.001349877	0.4217886839	-0.3465333522	1.350302681	0.4432294369	-1.647687122	0.168513674	1.069821625	0.6138471792	3.02760209	-0.4208924169	-0.1994178159	-1.192133607	0.498469626	1.496256347	-0.4301986469	-0.8977784107	-1.232927141	-1.750656992	-0.3505038228	-1.51705064	-1.389674499	1.077969579	0.1897367902
4	0.015625	-0.3282388878	1.555849568	0.2723022303	1.307786257	1.373922941	0.7753358289	-0.750635625	0.6463445077	1.18348477	-0.3737404862	1.285698685	-0.05791692998	-0.4947463819	-2.153962919	-1.910743552	2.241668362	-1.21383987	-1.083648782	-1.922292606	0.03226464011	-1.247614409	-0.1781716809	-0.8854114183	0.898720506	-0.6118714211	-0.3369865819	-0.1196675974	0.6070935646	1.516679959	0.07070397202	3.40453993	-1.391224265	0.7710681357	1.391375439	0.01501003469	0.6795481187	-0.7582136963	0.0497133861	-0.3249275394	-1.781133388	-0.8100096906	-0.00789821344	-0.7379723987	-0.1906716836	0.1073386489	-1.41725121	-0.8732021667	0.08009047925	0.5173499463	0.5558667567	-0.8758151953	-1.09845169	1.472575236	0.9775088578	-0.3556125348	1.032367388	-2.271125615	0.9200094199	-0.8457973192	-0.5279233451	0.3610635759	-2.710476826	2.594927338	1.461152319	-0.2694615497	-0.7487962376	-0.1974026952	0.5328443318	-0.5176395494	0.3302379582	1.966275584	-0.834357588	0.1872499146	-1.281044017	1.017519102	2.805884079	0.4052744471	0.2577204907	-0.8500445209	0.05396212187	1.216106166	-1.507944578	-0.5559851093	1.013436776	-0.3085102711	-1.70802782	2.615624578	0.7975642111	1.787493199	0.6167056632	-1.780782044	1.709811453	-0.9548642385	-0.1701143907	-1.930848286	-1.276019901	1.102830582
5	0.015625	-0.2734049339	-0.4315828502	-1.874104017	-0.233883261	-0.9261687755	1.525371748	2.551512473	1.900522243	-0.110876048	-0.9056220794	1.288961339	0.3444180979	0.755711738	1.069840762	0.9160936322	0.672182096	1.055024508	0.4949610946	1.351813	-1.522383807	0.9577673601	0.08172872524	-0.9067142707	-1.443881253	0.07014914257	-1.88389054	-1.731181091	-0.4616656496	-0.2059371929	-1.005871953	-0.02319836164	0.2019717284	1.32464273	-1.822187069	-1.211875031	1.462796562	0.3864533309	1.017191056	-0.3093887169	-2.358695319	-1.234452765	-1.132736169	-2.9253287	-1.020537628	-0.9172428638	1.376678406	1.196515243	-0.3147266942	0.2651376428	0.53585689	0.565574026	0.1534495179	0.1874848639	-0.4314793341	-0.8851361764	-0.8862074144	-2.047103987	-0.525620247	1.997803077	-0.4297016354	0.8762746382	0.2407672364	-1.211146894	0.6643918925	0.8846815875	1.453490033	1.757576257	-0.7655481973	-1.097705228	2.175728968	-0.06661535401	1.27255425	-0.04604919237	0.6712211107	1.190852175	-1.088844244	0.6738834073	2.969799596	-0.6488412579	-1.650627498	-0.8422608404	-0.5251161854	0.1848735551	0.7443189437	2.138234233	-0.7286233896	0.7132840235	2.216179435	0.6139181771	1.340952634	-0.4519949282	0.5217907562	-0.435674382	-0.530732915	1.169246029	-1.38939337	-0.1300474667
6	0.015625	2.213381851	-0.2146408998	-0.2091383367	0.75997869	0.6227345887	0.2548611632	0.8095845344	1.093507253	0.07273566558	0.5346835136	1.060165035	-0.1671296974	0.3215717555	-0.3043536872	2.829660054	-0.9865233979	0.5829963101	-0.1914308627	-0.05160082175	-0.6681572708	-0.1494998794	0.5183437412	0.02327487349	1.625620772	-0.156004505	-1.613468502	-1.973309395	0.2108941368	1.678610761	0.8930075038	-2.146039501	-0.1556790826	-0.3077108299	0.2303540607	-2.176379117	0.9642536743	-2.153773419	-1.31407334	-2.072884785	-1.821290597	-1.180631912	0.1495513321	-1.394337287	0.01130422228	0.6410969542	0.3260585741	-0.207405936	-3.647876012	-1.505645592	0.7753388941	-0.4345573967	-0.05288171666	-0.3232386634	0.2048752766	-0.2883553755	-0.3445370489	-0.08662392804	0.981542998	0.7249236342	-0.2916264818	0.5214775573	0.5398729785	1.000373631	0.8416612487	1.090368192	0.3443206651	1.980319129	-1.691782717	-1.251870034	0.8773977507	-1.549285147	-0.08054416529	-0.1790191655	0.2560620436	-0.4988811426	1.106125781	0.9545419373	1.68732743	-1.488515108	0.4803958093	-1.111888513	-0.1479345876	-1.773148539	-0.2255224835	1.74014997	0.751926467	1.521657066	-0.1685552298	-0.5000939122	0.165732992	1.637872921	1.677625934	0.3847820026	1.467772676	-0.80988179	0.4481537127	0.6553252504
7	0.015625	-1.539066042	-0.9260898621	-3.548230198	-0.1425228858	1.87413699	-0.2372166166	-1.34665378	-1.39127484	0.4703294152	1.536104073	0.1897121508	1.720321021	-1.050965447	-1.714864435	-0.6961626658	-0.08787272297	1.228618307	-0.03494048709	-0.3237686701	1.091747715	-1.170723492	0.4639665209	1.863589153	0.9676849115	0.4525562712	-1.331334452	2.26502997	0.7808442216	2.191957954	3.367658155	0.9197274819	0.537746483	-1.633800055	-0.0009309797199	-0.07253288552	-2.051571541	-0.7141326222	0.6135288143	-0.7427036508	-1.861028552	-0.2983261052	1.818003404	-0.774418254	-0.5948825123	-0.488050211	-1.125408192	-2.828269151	-1.698096621	-0.2746032302	-1.184577392	0.01606709763	-0.8235725063	-0.9921064857	-1.916220581	-1.333255748	0.2321577979	-3.411683471	-1.353613186	0.6070589556	-1.195950092	0.8700258203	-0.7838864513	-0.3704140112	0.9266555902	0.004752379875	-1.744152915	2.560631112	-0.4748162262	-0.3967568501	-0.1438648187	-0.0004824416146	0.9116346353	0.9546062443	-3.225907497	1.086909896	-0.1807853526	1.479307119	1.558240437	1.516729204	-0.3171523074	-0.3122367424	-0.05891302704	2.854243556	-0.5781902166	0.04958031604	0.3579076109	-0.6282968764	0.03766121935	-1.274903848	0.2798535503	1.647912131	1.091023584	-1.280389718	-1.361910599	-1.092209749	0.5760713305	-0.4006108471
8	0.015625	-1.553829103	-0.3707218846	-1.549326549	-0.3381786033	0.8766846097	1.526094755	0.29955131	-0.5418838067	0.5363811968	-0.9585262112	0.7802321065	0.4528166571	-0.3222846057	-0.9886358622	0.9200454074	0.03533870099	0.303105123	1.942628263	0.1557300762	-0.8574518242	-0.9167895201	2.275295408	-0.9376597	-0.653001536	-1.207382601	-0.6278937242	-0.7747520763	-1.232513863	-0.6107715729	-0.09356696251	-0.09370863049	-0.1490018852	-1.298736949	1.343463457	1.488344819	0.9528365679	-1.463000169	0.1332402705	-0.9215758372	0.0766496173	1.60075287	1.495605738	-2.043833467	-0.2938262037	1.099072646	1.517754993	0.9185145907	-0.2723933314	0.0147911217	1.976249935	1.12912264	0.8969183341	2.049436911	0.2539289792	-0.5959051243	1.579322015	-1.570413325	0.2973753306	-0.1388541652	0.6387220712	-0.2255977736	-0.01115131743	1.406677995	1.615034527	0.6657689953	2.6157699	0.3482459326	1.753646951	3.362867311	1.574929104	-0.2900147763	1.007867581	-0.9203006905	-0.4897927762	2.585225327	-0.6947777231	0.3133336569	1.518466967	-0.8001302243	-0.8328654322	-1.13598275	-1.365974909	-0.326421167	1.89512714	-0.5321884818	1.07727302	1.15016622	1.570152064	1.335086022	0.5495949897	-1.548639446	1.124378145	-1.394995177	0.2427641955	-0.4181147539	-1.585081066	0.4961393555
9	0.015625	-0.331663312	-0.617371299	1.143707519	-0.1757508686	0.6991752884	-0.1472712219	-0.1071131976	0.8386567044	-0.3369548094	0.8015495537	0.2934153967	-1.309775079	0.4103402795	1.56525948	0.5823762329	-0.5841451655	-1.828876999	1.836539685	0.4790026231	-1.327693864	2.932145295	-1.06536702	-0.3918623557	-1.435333812	-1.429931203	5.055556818	1.22647416	0.7506281485	0.2192563637	-0.978817544	3.440602506	1.565685724	-0.3969957811	-0.0493348242	2.711994401	-0.3512707177	-1.273616069	1.123378863	0.01940562608	0.8968726956	0.1455785286	1.469328846	1.136130417	0.7488074697	2.050129229	0.6028064677	0.3282137696	-0.7439796237	-1.17840537	-0.157787052	2.856886571	-1.654689535	2.319709726	-1.61279729	-0.4473977181	0.8803047595	-0.8643750836	0.4899523321	2.520667866	0.4074084298	2.405533361	-1.113174382	0.1563304954	0.8856886802	-0.2417003634	-1.752566541	-2.351011989	-0.3525350133	0.5826835693	-0.7298779387	1.222500176	-0.3990237031	1.646427322	0.04342640661	0.5122856704	0.902069859	-1.566385895	-1.100020759	-1.135931914	0.7810356446	-1.003434728	-0.4076803341	1.57168484	-0.251020683	0.6039682135	-2.665242736	-0.1922618824	-0.5081216558	0.8223041098	1.387121357	0.4172903941	1.237389024	-0.3549378019	-0.5456596499	-2.185164483	0.09453550479	-0.2559730566
10	0.015625	-0.3150797846	0.3625874623	0.6615670884	-0.1135134564	0.5216411093	0.5910205284	1.484429527	0.6233020502	0.1213154885	-0.07695107187	-0.8376005557	0.6740293059	0.3565329946	-0.005093531368	0.4893379824	0.7429857852	-1.931378297	0.1980711494	-0.01655505068	-0.6690991801	0.4445552681	0.6818397646	0.01468477401	0.1677143354	0.4538567629	-0.4455734503	0.3152772318	0.6790518467	0.7709137112	0.666131154	0.1424568622	0.02480881761	-1.491955401	-0.106351893	-0.5281802737	-0.05954350235	-0.1791841413	0.5596396228	-0.1076496611	0.1328806451	0.06631501477	0.8154706524	-0.8643298107	-0.5949735251	-0.5297960735	-0.177523818	-0.5421923563	-0.140098301	0.3443064163	1.299411483	0.5814608632	0.9930744527	1.539200944	-0.9637590119	-0.2318181522	0.5122879478	-1.721669006	0.3988123442	1.244376022	-0.4616060072	-0.1929812041	0.2023769434	-0.1061411002	0.4399396689	1.35354579	0.5047485936	0.6511389946	0.2137337044	-0.0216906957	0.9836171698	0.5730178347	0.2915759342	-0.004569285452	-0.01647923145	0.5423241615	-0.2070407813	0.7736087429	-0.180163961	-1.21333488	-0.9657848175	-1.025248044	0.143987705	-0.239813182	1.408839116	0.5069129741	-0.7900814471	0.6786299282	0.343054486	0.3058487206	-0.8775126958	-0.04062946028	0.007484989307	0.4642729434	-0.3930937483	-0.3414663287	0.4396365993	0.1788671378
11	0.015625	-0.2197489659	-1.860196295	-0.9086634385	2.793717858	-0.4853761981	-0.4761985243	0.741907264	-0.3036705708	2.578436829	-0.1212671554	-0.7121924176	0.423428276	2.667802473	-0.6129679639	0.5244734886	-0.3958067051	0.77756071	2.797993539	-1.163766377	0.5951796921	0.08725361956	1.716944463	-3.313819723	-1.111165167	2.509424754	-1.322632275	0.6021608888	-0.9908767927	0.4241048735	0.9474033352	1.647772841	0.8146149186	0.8419330273	0.730265419	1.172107852	-0.8624262237	-2.207764168	1.856903836	1.231164234	-0.4190629579	-0.697022093	-0.9706811999	0.1631915711	-1.994762148	-0.9814273169	0.3115666873	1.563111263	0.1006995255	0.7676318118	1.123185767	-0.3926515877	1.965898359	2.406571445	0.4719878132	0.3373968678	0.6446636836	-0.4445314012	2.349467744	-2.379276795	2.713136643	-0.1536635738	-0.7971156275	1.278179998	-0.4612533051	2.319111212	0.575708478	0.6553442252	-1.388013591	0.5396300013	1.170255809	-0.7504041177	0.3122038779	-1.615175474	0.6926969957	1.163692676	0.545344231	-0.2495947915	-3.00726598	-0.2018809639	-1.727391506	0.7563552899	-1.656699214	0.09434218744	-0.1213081942	0.5087996633	1.985512785	-0.6864707179	0.5040700866	0.1929275029	0.5417971017	1.997093763	-1.023486584	-0.5940915507	-0.9470513838	1.177136117	-0.7400460997	0.847685583
12	0.015625	-1.218670993	0.7103630428	2.401079329	0.3996979615	-0.1372163113	-0.8000421029	1.126275602	-0.8476103885	0.5887358777	0.6250550659	0.3224768127	0.6742373073	1.245357552	-1.688374205	0.2418472004	-0.9701452361	0.4523331347	0.318412463	0.4449222657	1.548879391	0.3414427677	1.571057115	0.3632059614	-0.6705250119	0.8782647355	0.4848757711	2.825296973	-1.018259499	-1.714399088	1.133089409	-0.05760792325	1.902146705	-0.2948033446	-0.09601460893	0.8998498809	-0.8304212688	-1.465377311	1.521051603	0.1547142084	-0.1141119849	-0.2581267711	0.0240030903	0.1923497673	-0.08886328114	0.4997537685	-0.1336547895	-0.3139894498	0.1032153664	-0.4465052108	0.4361550576	0.8876004721	-1.378282082	1.655012596	0.1923189448	-1.141554335	-0.5306275867	-2.087424347	0.361172917	-0.5694663143	-0.6021673817	0.441300519	0.1260538354	0.2490690559	1.246558468	-0.5678089674	-0.3850027831	0.2479908062	-1.114499433	-0.3664682412	1.675522131	0.3878060702	-0.2330976362	-1.365574164	-1.325825135	-1.0421604	0.8220359006	-0.5854065281	-2.847178095	-0.3856593808	1.033280107	0.1840562756	3.004700005	-1.640844472	0.2854694838	-1.026558649	-1.809065644	0.8831857854	-0.986713148	0.8008592861	0.2997365706	2.592863408	0.8891569754	-0.7073043784	0.5027546319	0.3488306678	0.5150277348	-0.5738366653
13	0.015625	1.50279559	-0.5424189634	0.1562604454	0.4870242021	0.5630830612	0.9822431458	-0.7511394302	-1.742901639	-0.4771047208	0.3190559198	0.380690147	1.59562714	-1.204857915	-1.332424375	1.758140312	-0.4219535653	1.898292628	0.7599190898	0.0852926125	1.034660384	0.1013842924	-0.07205207922	-0.6240678396	-0.9490056443	-0.5562130151	-2.159659447	1.494542279	0.7441158862	-2.074612112	0.7940852429	1.618973683	0.3115630554	2.431309819	-1.343489636	-0.1297523527	0.910999044	-1.775673967	0.2976413181	-0.748495071	0.7111372272	-0.6829535539	0.08448780661	-0.8793393677	-0.308418931	-1.344707403	0.5087758537	-0.4491142509	0.2148493806	0.3751101325	1.482667001	-1.451711631	-1.03087312	0.4201876088	-0.3352904242	0.606129709	-0.2505338843	-0.1106815552	0.6775897784	4.215283237	0.01686738368	-0.07567735291	-0.5252975948	0.4112751943	-0.05752685114	0.9369532445	0.5075764884	-1.01215328	2.577322488	-0.09678349226	1.329071268	2.147705545	-0.1856922142	-2.03144871	1.238070088	0.121049693	-0.2830084673	0.7705278287	-0.6908103983	0.8079965403	-1.198366987	-2.655743082	0.3048569944	1.583840532	0.4741126663	1.497736858	-0.8315189673	1.554294723	-0.6815012024	-0.1321453821	-1.183779664	-0.5967636272	0.22552536	-1.159132476	0.9835432361	-0.1918326415	0.4566504538	0.1109215368
14	0.015625	-0.8850635297	-0.9087371755	-0.01727804048	-1.000560042	-0.19189621	0.9212690749	-0.7481360635	-1.530454644	0.4107351064	1.434605311	-1.491866313	0.7196267548	1.02391919	1.188148565	1.69384758	0.6057090519	-1.781570731	-0.6719791793	1.577039586	1.771692196	1.930292222	-0.3068289931	1.125402974	-0.9551032873	-0.2794448801	1.626481852	2.177938548	0.8389077665	0.653302983	-0.1617799476	-0.269036884	-0.2420042223	0.5276656277	0.7393089628	-2.536531473	-1.011917891	-1.454651751	0.8451119367	-0.1147378735	-0.9219096322	-0.4351280804	1.412688942	-1.82160814	-0.1255992823	1.145264958	-0.8049912015	-1.058334544	-1.113342472	-0.2226147594	-2.149303704	1.529147262	-0.1210788525	1.374500947	0.2732658977	-0.7736961696	-0.9432490985	-1.020026063	-0.6591211229	0.6470481216	-1.3070743	-0.8062648198	0.0612388339	0.2415539478	0.5368693684	1.625374587	0.8954791869	1.575021027	0.8229882427	-1.098560099	1.979721249	1.421380055	-1.313503549	-1.221029974	-1.141999083	-0.5838069203	-0.4929708231	-0.1025640341	1.063570095	1.484571947	-2.331283344	-0.0740781911	0.2366423912	1.303608318	-0.3204627839	2.501241082	-2.350667797	-0.1325305067	1.697602843	0.868446775	-1.629268347	1.174939453	-1.211183492	-0.1515876395	-0.3800559846	-0.1997972632	2.264038192	0.7012037505
15	0.015625	-0.674655283	1.590600481	-0.5242379766	0.1068000298	0.3848009721	0.6238703969	1.393088111	0.3371348781	0.6611762961	1.141774798	0.2415253723	1.295036951	1.118383579	-0.260208369	0.5404759363	-0.2057914757	-0.4200394729	-0.416256978	-2.227085678	1.039997308	-0.9948671574	0.7638978189	-3.281280925	0.9032714745	-0.3595803017	-0.2450487472	1.747320711	0.08869750155	0.5420350813	0.8133170078	1.601338387	-0.364436038	0.7317317438	-1.566358427	-0.5223892498	-0.6598540242	-3.535463592	-0.3727374011	-0.8864209629	0.4735583057	1.727525267	-1.295480765	-0.02678537741	-0.8085616857	0.2971301101	0.1915268643	-0.1013322136	-0.8866669363	-0.6179564584	0.5038540372	0.08993588935	-1.086211303	-0.8518596899	-0.8461360924	1.017099794	2.241110731	0.07763644812	0.5810111149	0.1148066415	0.5298678483	1.862303198	-0.1904745504	0.6710033752	0.8595309582	1.228911211	-0.7288608602	-0.3433427108	-0.4285741517	1.834290737	-0.02882934354	-0.0006103911373	1.419762263	0.2214459288	1.638721236	-0.2334532609	0.8500886568	1.472024117	-0.1464012596	0.7019931753	-0.6375067581	0.06586283544	-0.2654892992	-0.17068345	-0.2577693332	-0.1231102127	0.805192306	1.837772651	0.2915390273	0.8002088946	1.300171614	-0.1069555987	2.182876412	-0.2764029098	-1.503032598	0.6517834036	-0.4895692769	-0.2584702864
