row_label	junction	junction_label	incoming_row	source_road	source_role	source_observed	target_roads	target_road_values	observed_target_cols	observed_target_col_values	unobserved_target_cols	unobserved_target_col_values	target_observed_flags	target_observed_values	target_observed_count	target_observation_distances	target_observation_distance_values	min_target_observation_distance	true_row	true_row_values	posterior_mean_row	posterior_mean_row_values	signed_error_row	signed_error_row_values	abs_error_row	abs_error_row_values	row_l1_error	row_tv_error	row_l2_error	max_abs_entry_error	largest_abs_col	largest_abs_target_road	largest_abs_target_observed	dominant_true_col	dominant_true_target_road	dominant_true_target_observed	dominant_posterior_col	dominant_posterior_target_road	dominant_posterior_target_observed	dominant_target_changed	largest_over_col	largest_over_target_road	largest_over_target_observed	largest_under_col	largest_under_target_road	largest_under_target_observed	mean_entry_normalized_sensitivity	min_entry_normalized_sensitivity	max_entry_normalized_sensitivity	min_pair_contrast_sensitivity	mean_pair_contrast_sensitivity	max_pair_contrast_sensitivity	weakest_pair_contrast	under_over_pair_contrast_sensitivity	row_raw_observation_signal	row_normalized_observation_signal	row_signal_per_tv_error
J1 row 1	1	J1 (top-left)	1	1	incoming	false	3,4,17,19	3,4,17,19	2,3	2,3	1,4	1,4	false,true,true,false	false,true,true,false	2	Inf,0,0,2	Inf,0,0,2	0	0.100,0.120,0.500,0.280	0.1,0.12,0.5,0.28	0.567,0.208,0.054,0.171	0.5673630805,0.2079117386,0.05408863353,0.1706365474	0.467,0.088,-0.446,-0.109	0.4673630805,0.0879117386,-0.4459113665,-0.1093634526	0.467,0.088,0.446,0.109	0.4673630805,0.0879117386,0.4459113665,0.1093634526	1.110549638	0.5552748191	0.6610249876	0.4673630805	1	3	false	3	17	true	1	3	false	true	1	3	false	3	17	true	2.153304731	0.6404165959	3.59601936	0.6812323228	2.316460957	4.235695229	1<->2	2.195239977	0.02282970146	0.7558029668	1.361133156
J1 row 2	1	J1 (top-left)	2	2	incoming	true	3,4,17,19	3,4,17,19	2,3	2,3	1,4	1,4	false,true,true,false	false,true,true,false	2	Inf,0,0,2	Inf,0,0,2	0	0.080,0.180,0.220,0.520	0.08,0.18,0.22,0.52	0.450,0.266,0.051,0.232	0.4503574169,0.2662574667,0.05148443425,0.2319006822	0.370,0.086,-0.169,-0.288	0.3703574169,0.0862574667,-0.1685155657,-0.2880993178	0.370,0.086,0.169,0.288	0.3703574169,0.0862574667,0.1685155657,0.2880993178	0.9132297672	0.4566148836	0.5059680619	0.3703574169	1	3	false	4	19	false	1	3	false	true	1	3	false	4	19	false	1.719009623	0.5571299894	2.823026745	0.542478236	1.84963581	3.383431207	1<->2	1.692543815	0.01259929332	0.3033879905	0.6644286059
J1 row 3	1	J1 (top-left)	3	18	internal	false	3,4,17,19	3,4,17,19	2,3	2,3	1,4	1,4	false,true,true,false	false,true,true,false	2	Inf,0,0,2	Inf,0,0,2	0	0.420,0.240,0.080,0.260	0.42,0.24,0.08,0.26	0.261,0.325,0.181,0.232	0.2611369294,0.3253647372,0.1812399079,0.2322584255	-0.159,0.085,0.101,-0.028	-0.1588630706,0.08536473719,0.1012399079,-0.0277415745	0.159,0.085,0.101,0.028	0.1588630706,0.08536473719,0.1012399079,0.0277415745	0.3732092902	0.1866046451	0.2086713384	0.1588630706	1	3	false	1	3	false	2	4	true	true	3	17	true	1	3	false	1.522691063	0.5796879251	2.489514552	0.6098322592	2.084673754	3.805806446	1<->2	1.992175714	0.008499821552	0.2708132977	1.451267719
J1 row 4	1	J1 (top-left)	4	20	internal	false	3,4,17,19	3,4,17,19	2,3	2,3	1,4	1,4	false,true,true,false	false,true,true,false	2	Inf,0,0,2	Inf,0,0,2	0	0.200,0.460,0.240,0.100	0.2,0.46,0.24,0.1	0.425,0.150,0.083,0.343	0.4251115855,0.1495513111,0.0826995303,0.342637573	0.225,-0.310,-0.157,0.243	0.2251115855,-0.3104486889,-0.1573004697,0.242637573	0.225,0.310,0.157,0.243	0.2251115855,0.3104486889,0.1573004697,0.242637573	0.9354983171	0.4677491586	0.4802812134	0.3104486889	2	4	true	2	4	true	1	3	false	true	4	19	false	2	4	true	1.179463556	0.3741779532	1.917484331	0.4679636889	1.615150967	2.953430586	1<->2	1.646721301	0.01931533658	0.5073156203	1.08458906
J2 row 1	2	J2 (top-right)	1	5	incoming	false	7,8,18,21	7,8,18,21	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.180,0.080,0.160,0.580	0.18,0.08,0.16,0.58	0.370,0.161,0.210,0.259	0.3699514647,0.1609716816,0.2102221968,0.2588546569	0.190,0.081,0.050,-0.321	0.1899514647,0.08097168156,0.05022219682,-0.3211453431	0.190,0.081,0.050,0.321	0.1899514647,0.08097168156,0.05022219682,0.3211453431	0.6422906863	0.3211453431	0.3850903435	0.3211453431	4	21	true	4	21	true	1	7	true	true	1	7	true	4	21	true	0.7005715957	0.4684086414	0.9146297031	2.448498667e-06	0.6192527043	1.115506831	2<->3	1.115506831	0.01205158537	0.1878414743	0.584911095
J2 row 2	2	J2 (top-right)	2	6	incoming	false	7,8,18,21	7,8,18,21	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.140,0.100,0.560,0.200	0.14,0.1,0.56,0.2	0.122,0.290,0.274,0.313	0.1219365911,0.2902028041,0.2743860777,0.3134745271	-0.018,0.190,-0.286,0.113	-0.01806340893,0.1902028041,-0.2856139223,0.1134745271	0.018,0.190,0.286,0.113	0.01806340893,0.1902028041,0.2856139223,0.1134745271	0.6073546624	0.3036773312	0.3618772918	0.2856139223	3	18	false	3	18	false	4	21	true	true	2	8	false	3	18	false	0.6041236944	0.1988213966	1.052962079	3.061910525e-06	0.7745200454	1.394738246	2<->3	3.061910525e-06	0.007704354711	0.1229435854	0.4048494003
J2 row 3	2	J2 (top-right)	3	17	internal	true	7,8,18,21	7,8,18,21	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.480,0.200,0.080,0.240	0.48,0.2,0.08,0.24	0.190,0.272,0.263,0.275	0.1902472947,0.2723054327,0.2627617932,0.2746854794	-0.290,0.072,0.183,0.035	-0.2897527053,0.07230543272,0.1827617932,0.03468547938	0.290,0.072,0.183,0.035	0.2897527053,0.07230543272,0.1827617932,0.03468547938	0.5795054106	0.2897527053	0.3518375497	0.2897527053	1	7	true	1	7	true	4	21	true	true	3	18	false	1	7	true	0.6525247687	0.2973353857	1.121869618	2.742362327e-06	0.7119671023	1.274582172	2<->3	0.5800244857	0.01278024116	0.1966456233	0.6786670832
J2 row 4	2	J2 (top-right)	4	22	internal	false	7,8,18,21	7,8,18,21	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.180,0.420,0.300,0.100	0.18,0.42,0.3,0.1	0.289,0.238,0.294,0.179	0.2890127011,0.2380704114,0.2942152281,0.1787016595	0.109,-0.182,-0.006,0.079	0.1090127011,-0.1819295886,-0.005784771943,0.07870165946	0.109,0.182,0.006,0.079	0.1090127011,0.1819295886,0.005784771943,0.07870165946	0.3754287211	0.1877143606	0.2262952916	0.1819295886	2	8	false	2	8	false	3	18	false	true	1	7	true	2	8	false	0.3665530301	0.1105584022	0.742389911	2.142222289e-06	0.5406694322	0.977542362	2<->3	0.4347546229	0.003505223903	0.05533221509	0.2947681516
J3 row 1	3	J3 (bottom-left)	1	9	incoming	true	11,12,20,23	11,12,20,23			1,2,3,4	1,2,3,4	false,false,false,false	false,false,false,false	0	Inf,Inf,1,1	Inf,Inf,1,1	1	0.160,0.180,0.420,0.240	0.16,0.18,0.42,0.24	0.367,0.213,0.136,0.284	0.3669280867,0.2129146886,0.135667987,0.2844892377	0.207,0.033,-0.284,0.044	0.2069280867,0.03291468864,-0.284332013,0.04448923771	0.207,0.033,0.284,0.044	0.2069280867,0.03291468864,0.284332013,0.04448923771	0.5686640261	0.284332013	0.3559867915	0.284332013	3	20	false	3	20	false	1	11	false	true	1	11	false	3	20	false	0.7242770171	0.5646467331	1.129884224	0	0.5649431434	1.129884224	1<->2	1.129884224	0.008353479901	0.1220579741	0.4292797451
J3 row 2	3	J3 (bottom-left)	2	10	incoming	false	11,12,20,23	11,12,20,23			1,2,3,4	1,2,3,4	false,false,false,false	false,false,false,false	0	Inf,Inf,1,1	Inf,Inf,1,1	1	0.100,0.220,0.180,0.500	0.1,0.22,0.18,0.5	0.437,0.121,0.213,0.229	0.4369490874,0.1209088026,0.2134679684,0.2286741416	0.337,-0.099,0.033,-0.271	0.3369490874,-0.09909119744,0.03346796844,-0.2713258584	0.337,0.099,0.033,0.271	0.3369490874,0.09909119744,0.03346796844,0.2713258584	0.7408341116	0.3704170558	0.4450748018	0.3369490874	1	11	false	4	23	false	1	11	false	true	1	11	false	4	23	false	0.4043148108	0.1803277238	0.9037873871	0	0.4518945181	0.9037873871	1<->2	2.473751776e-06	0.002010827495	0.02965117007	0.08004806908
J3 row 3	3	J3 (bottom-left)	3	19	internal	false	11,12,20,23	11,12,20,23			1,2,3,4	1,2,3,4	false,false,false,false	false,false,false,false	0	Inf,Inf,1,1	Inf,Inf,1,1	1	0.440,0.180,0.100,0.280	0.44,0.18,0.1,0.28	0.164,0.267,0.302,0.267	0.1644988754,0.2668973202,0.3018697051,0.2667340993	-0.276,0.087,0.202,-0.013	-0.2755011246,0.08689732024,0.2018697051,-0.01326590071	0.276,0.087,0.202,0.013	0.2755011246,0.08689732024,0.2018697051,0.01326590071	0.5775340506	0.2887670253	0.3526746034	0.2755011246	1	11	false	1	11	false	3	20	false	true	3	20	false	1	11	false	0.2843271323	0.09618065495	0.7907528369	0	0.3953771376	0.7907528369	1<->2	0.7907528369	0.009700543642	0.1442074379	0.4993902533
J3 row 4	3	J3 (bottom-left)	4	24	internal	true	11,12,20,23	11,12,20,23			1,2,3,4	1,2,3,4	false,false,false,false	false,false,false,false	0	Inf,Inf,1,1	Inf,Inf,1,1	1	0.220,0.400,0.260,0.120	0.22,0.4,0.26,0.12	0.240,0.184,0.329,0.246	0.2403059306,0.1839169456,0.3293204188,0.246456705	0.020,-0.216,0.069,0.126	0.02030593058,-0.2160830544,0.06932041884,0.126456705	0.020,0.216,0.069,0.126	0.02030593058,0.2160830544,0.06932041884,0.126456705	0.4321661089	0.2160830544	0.2605778884	0.2160830544	2	12	false	2	12	false	3	20	false	true	4	23	false	2	12	false	0.5239391321	0.3000327226	1.016850722	0	0.5084262829	1.016850722	1<->2	2.76576342e-06	0.004452384367	0.06588649315	0.3049128185
J4 row 1	4	J4 (bottom-right)	1	13	incoming	false	15,16,22,24	15,16,22,24	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.120,0.160,0.540,0.180	0.12,0.16,0.54,0.18	0.158,0.402,0.192,0.248	0.1577340082,0.4023002641,0.1919065754,0.2480591524	0.038,0.242,-0.348,0.068	0.03773400819,0.2423002641,-0.3480934246,0.06805915235	0.038,0.242,0.348,0.068	0.03773400819,0.2423002641,0.3480934246,0.06805915235	0.6961868492	0.3480934246	0.4312010596	0.3480934246	3	22	false	3	22	false	2	16	false	true	2	16	false	3	22	false	1.067897597	0.5964823714	1.348352773	0.5918723929	1.10653375	1.687549246	1<->2	1.086439069	0.01474104396	0.2329341008	0.6691712177
J4 row 2	4	J4 (bottom-right)	2	14	incoming	true	15,16,22,24	15,16,22,24	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.160,0.100,0.200,0.540	0.16,0.1,0.2,0.54	0.093,0.258,0.298,0.351	0.09254159379,0.2581830527,0.2983345447,0.3509408088	-0.067,0.158,0.098,-0.189	-0.06745840621,0.1581830527,0.0983345447,-0.1890591912	0.067,0.158,0.098,0.189	0.06745840621,0.1581830527,0.0983345447,0.1890591912	0.5130351948	0.2565175974	0.2738349415	0.1890591912	4	24	true	4	24	true	4	24	true	false	2	16	false	4	24	true	1.217202117	0.5279346281	1.880228469	0.7386907331	1.384350193	2.114768821	1<->2	1.05222082	0.01734115134	0.2700002757	1.052560442
J4 row 3	4	J4 (bottom-right)	3	21	internal	true	15,16,22,24	15,16,22,24	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.460,0.240,0.100,0.200	0.46,0.24,0.1,0.2	0.270,0.364,0.205,0.161	0.2702653356,0.3643715953,0.2048397628,0.1605233063	-0.190,0.124,0.105,-0.039	-0.1897346644,0.1243715953,0.1048397628,-0.03947669367	0.190,0.124,0.105,0.039	0.1897346644,0.1243715953,0.1048397628,0.03947669367	0.4584227162	0.2292113581	0.2530164457	0.1897346644	1	15	true	1	15	true	2	16	false	true	2	16	false	1	15	true	0.7448021887	0.3284565687	1.142077112	0.5251680703	0.9774337954	1.472630926	1<->2	0.5251680703	0.01051240346	0.1672759619	0.7297891485
J4 row 4	4	J4 (bottom-right)	4	23	internal	false	15,16,22,24	15,16,22,24	1,4	1,4	2,3	2,3	true,false,false,true	true,false,false,true	2	0,Inf,1,0	0,Inf,1,0	0	0.200,0.480,0.220,0.100	0.2,0.48,0.22,0.1	0.343,0.304,0.159,0.194	0.3429521668,0.3042111878,0.1592501155,0.1935865299	0.143,-0.176,-0.061,0.094	0.1429521668,-0.1757888122,-0.0607498845,0.09358652992	0.143,0.176,0.061,0.094	0.1429521668,0.1757888122,0.0607498845,0.09358652992	0.4730773935	0.2365386967	0.2525589348	0.1757888122	2	16	false	2	16	false	1	15	true	true	1	15	true	2	16	false	0.9422970276	0.4300689825	1.338303902	0.6728466995	1.261218678	1.90939973	1<->2	0.6728466995	0.01119377518	0.1848602018	0.7815220274
